onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5652	15.8152	1	1	1	2	0.53	0	0	10.5	0	0.11758	10.5652	11.1321	1	12.0423	0.9102	14.0326	n/a
25.4119	30.6619	2	2	1	1	0.13	0	1	9.625	0	15.7806	25.4119	25.9284	0	26.8892	0.96081	28.9109	n/a
42.0581	47.3081	3	2	1	3	0.91	1	0	11.375	1	30.6606	42.0581	42.5717	1	43.4891	0.91742	45.5281	46.7715
56.938	62.188	4	3	1	1	0.15	1	1	9.625	1	47.2901	56.938	57.4379	0	58.481	1.0431	60.4038	n/a
72.6844	77.9344	5	1	1	2	0.61	0	1	10.5	0	62.1701	72.6844	73.1843	1	74.1443	0.96004	76.1668	n/a
89.3164	94.5664	6	3	1	1	0.31	1	0	11.375	0	77.9165	89.3164	89.8167	1	91.064	1.2473	92.7963	94.0276
105.0603	110.3103	7	3	1	3	0.79	1	0	10.5	0	94.546	105.0603	105.5602	1	106.5994	1.0392	108.5428	109.7819
120.8234	126.0734	8	1	1	1	0.1	0	0	10.5	0	110.31	120.8234	121.3233	0	122.4634	1.1401	124.3002	n/a
135.7034	140.9534	9	3	1	2	0.58	1	1	9.625	0	126.0555	135.7034	136.1895	1	137.8788	1.6893	139.1741	140.4123
152.3329	157.5829	10	3	1	2	0.36	1	0	11.375	1	140.9354	152.3329	152.8328	0	154.0464	1.2136	155.799	n/a
168.0793	173.3293	11	1	1	3	0.82	0	0	10.5	1	157.5666	168.0793	168.5792	1	169.6063	1.0271	171.5618	n/a
183.8295	189.0795	12	3	1	1	0.22	1	0	10.5	1	173.3114	183.8295	184.3298	0	185.5018	1.172	187.3145	n/a
199.5888	204.8388	13	3	1	3	0.87	0	0	10.5	1	189.0654	199.5888	200.0887	1	201.4934	1.4047	203.0556	n/a
215.3283	220.5783	14	1	1	2	0.45	0	0	10.5	0	204.8209	215.3283	215.8452	1	216.9169	1.0716	218.8176	n/a
230.2155	235.4655	15	2	1	3	0.7	0	1	9.625	0	220.5673	230.2155	230.7192	1	231.9326	1.2134	233.6975	n/a
245.9616	251.2116	16	1	1	1	0.27	0	1	10.5	1	235.4472	245.9616	246.4615	1	247.7086	1.2471	249.445	n/a
262.5911	267.8411	17	2	1	2	0.4	0	0	11.375	0	251.1959	262.5911	263.091	1	264.42	1.329	266.0736	n/a
278.3426	283.5926	18	1	1	1	0.18	0	0	10.5	1	267.8232	278.3426	278.8428	1	279.9399	1.0971	281.8275	n/a
294.1006	299.3506	19	1	1	3	0.74	0	0	10.5	0	283.5784	294.1006	294.6006	1	296.0748	1.4743	297.5686	n/a
309.847	315.097	20	3	1	2	0.52	1	0	10.5	1	299.3326	309.847	310.3583	1	311.3708	1.0124	313.3294	314.5649
324.7152	329.9652	21	1	1	1	0.34	0	1	9.625	0	315.0791	324.7152	325.2323	1	326.6665	1.4343	328.2092	n/a
341.3568	346.6068	22	3	1	3	0.7	1	0	11.375	1	329.959	341.3568	341.8571	1	343.0584	1.2013	344.839	346.0701
356.2196	361.4696	23	2	1	2	0.65	0	1	9.625	0	346.5927	356.2196	356.7195	1	357.9057	1.1862	359.7158	n/a
372.839	378.089	24	2	1	2	0.49	1	0	11.375	1	361.4685	372.839	373.3726	1	374.2815	0.90894	376.3407	377.5768
387.7296	392.9796	25	2	1	2	0.57	0	1	9.625	0	378.098	387.7296	388.2298	1	389.5929	1.3632	391.2145	n/a
403.4756	408.7256	26	2	1	1	0.22	1	1	10.5	1	392.9655	403.4756	403.9922	1	405.0885	1.0963	406.9748	408.2059
420.1051	425.3551	27	1	1	2	0.4	1	0	11.375	1	408.7244	420.1051	420.6217	1	421.5044	0.88266	423.6043	424.8359
435.8699	441.1199	28	2	1	1	0.27	1	0	10.5	1	425.3539	435.8699	436.3702	0	437.7042	1.334	439.3548	n/a
451.6276	456.8776	29	1	1	3	0.88	0	0	10.5	1	441.1057	451.6276	452.1144	1	453.5597	1.4453	455.097	n/a
466.5016	471.7516	30	3	1	1	0.09	1	1	9.625	0	456.8468	466.5016	467.0111	0	468.4233	1.4121	469.9866	n/a
482.2576	487.5076	31	3	1	2	0.44	1	1	10.5	1	471.7375	482.2576	482.7429	1	484.2466	1.5037	485.7277	486.9696
