onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5596	15.8096	1	1	1	2	0.53	0	0	10.5	0	0.11401	10.5596	11.1269	1	13.1061	1.9792	14.0312	n/a
25.4256	30.6756	2	2	1	1	0.13	0	1	9.625	0	15.7917	25.4256	25.9262	0	27.0097	1.0834	28.9127	n/a
42.0524	47.3024	3	2	1	3	0.91	1	0	11.375	1	30.6648	42.0524	42.5733	1	44.1692	1.5959	45.5349	46.772
56.9323	62.1823	4	3	1	1	0.15	1	1	9.625	1	47.2845	56.9323	57.4446	0	58.4971	1.0525	60.4147	n/a
72.6792	77.9292	5	1	1	2	0.61	0	1	10.5	0	62.1665	72.6792	73.1955	1	74.2325	1.037	76.1653	n/a
89.3134	94.5634	6	3	1	1	0.31	1	0	11.375	0	77.9173	89.3134	89.8138	0	90.8162	1.0024	92.7907	n/a
105.0714	110.3214	7	3	1	3	0.79	1	0	10.5	0	94.5404	105.0714	105.5713	1	106.3202	0.74893	108.5513	109.7815
120.8178	126.0678	8	1	1	1	0.1	0	0	10.5	0	110.3034	120.8178	121.3177	1	122.9834	1.6657	124.3023	n/a
135.6815	140.9315	9	3	1	2	0.58	1	1	9.625	0	126.0543	135.6815	136.1989	1	137.6311	1.4322	139.1801	140.4129
152.3273	157.5773	10	3	1	2	0.36	1	0	11.375	1	140.9298	152.3273	152.8272	0	153.911	1.0838	155.8096	n/a
168.0737	173.3237	11	1	1	3	0.82	0	0	10.5	1	157.5593	168.0737	168.585	1	169.6224	1.0374	171.5562	n/a
183.8201	189.0701	12	3	1	1	0.22	1	0	10.5	1	173.3068	183.8201	184.3366	0	185.31	0.97334	187.3056	n/a
199.5693	204.8193	13	3	1	3	0.87	0	0	10.5	1	189.0575	199.5693	200.07	1	201.1977	1.1277	203.0656	n/a
215.337	220.587	14	1	1	2	0.45	0	0	10.5	0	204.8152	215.337	215.8375	1	216.6534	0.81591	218.8119	n/a
230.2095	235.4595	15	2	1	3	0.7	0	1	9.625	0	220.5615	230.2095	230.7207	1	231.733	1.0122	233.6919	n/a
245.9559	251.2059	16	1	1	1	0.27	0	1	10.5	1	235.4426	245.9559	246.4725	1	247.5965	1.124	249.4414	n/a
262.5895	267.8395	17	2	1	2	0.4	0	0	11.375	0	251.1935	262.5895	263.0852	1	264.8282	1.743	266.0766	n/a
278.3318	283.5818	18	1	1	1	0.18	0	0	10.5	1	267.8175	278.3318	278.8484	1	279.9321	1.0837	281.831	n/a
294.0949	299.3449	19	1	1	3	0.74	0	0	10.5	0	283.5806	294.0949	294.5947	1	295.4274	0.83273	297.5784	n/a
309.8421	315.0921	20	3	1	2	0.52	1	0	10.5	1	299.3304	309.8421	310.3427	0	312.163	1.8204	313.3293	n/a
324.7253	329.9753	21	1	1	1	0.34	0	1	9.625	0	315.0812	324.7253	325.2259	1	326.0426	0.81671	328.2038	n/a
341.3508	346.6008	22	3	1	3	0.7	1	0	11.375	1	329.9534	341.3508	341.8611	1	343.4582	1.5971	344.8333	346.0695
356.2308	361.4808	23	2	1	2	0.65	0	1	9.625	0	346.5831	356.2308	356.7306	1	357.939	1.2085	359.7142	n/a
372.8622	378.1122	24	2	1	2	0.49	1	0	11.375	1	361.4661	372.8622	373.3628	1	376.21	2.8471	376.3426	377.5728
