onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.561	15.811	1	1	1	2	0.53	0	0	10.5	0	0.11172	10.561	11.1111	1	12.4172	1.3061	14.0288	n/a
25.4096	30.6596	2	2	1	1	0.13	0	1	9.625	0	15.7892	25.4096	25.9262	1	27.6486	1.7224	28.9091	n/a
42.0497	47.2997	3	2	1	3	0.91	1	0	11.375	1	30.669	42.0497	42.5614	1	43.6643	1.1029	45.5321	46.7729
56.9295	62.1795	4	3	1	1	0.15	1	1	9.625	1	47.2909	56.9295	57.4294	0	58.6234	1.194	60.4119	n/a
72.6925	77.9425	5	1	1	2	0.61	0	1	10.5	0	62.1729	72.6925	73.1886	1	74.2712	1.0826	76.1716	n/a
89.3205	94.5705	6	3	1	1	0.31	1	0	11.375	0	77.9245	89.3205	89.8204	1	91.4067	1.5863	92.7876	94.0294
105.0694	110.3194	7	3	1	3	0.79	1	0	10.5	0	94.5533	105.0694	105.569	1	106.782	1.213	108.552	109.7828
120.8176	126.0676	8	1	1	1	0.1	0	0	10.5	0	110.3169	120.8176	121.3176	1	122.6696	1.352	124.3005	n/a
135.6996	140.9496	9	3	1	2	0.58	1	1	9.625	0	126.0504	135.6996	136.1996	1	137.4293	1.2298	139.1825	140.4132
152.3314	157.5814	10	3	1	2	0.36	1	0	11.375	1	140.9324	152.3314	152.8313	0	154.0926	1.2613	155.8061	n/a
168.08	173.33	11	1	1	3	0.82	0	0	10.5	1	157.5642	168.08	168.5799	1	169.516	0.93611	171.5629	n/a
183.833	189.083	12	3	1	1	0.22	1	0	10.5	1	173.3128	183.833	184.3329	0	185.6599	1.327	187.3114	n/a
199.577	204.827	13	3	1	3	0.87	0	0	10.5	1	189.065	199.577	200.0792	1	201.1071	1.0279	203.0616	n/a
215.3089	220.5589	14	1	1	2	0.45	0	0	10.5	0	204.8113	215.3089	215.8256	1	216.9225	1.0969	218.8085	n/a
230.2076	235.4576	15	2	1	3	0.7	0	1	9.625	0	220.5585	230.2076	230.7076	1	231.5862	0.87861	233.6906	n/a
245.9684	251.2184	16	1	1	1	0.27	0	1	10.5	1	235.4404	245.9684	246.4562	1	247.7221	1.2659	249.4391	n/a
262.5978	267.8478	17	2	1	2	0.4	0	0	11.375	0	251.189	262.5978	263.088	1	264.0974	1.0094	266.0709	n/a
