onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5669	15.8169	1	1	1	2	0.53	0	0	10.5	0	0.045024	10.5669	11.0846	1	12.0151	0.93049	14.0388	n/a
25.4226	30.6726	2	2	1	1	0.13	0	1	9.625	0	15.7746	25.4226	25.9224	0	27.0717	1.1493	28.9049	n/a
42.0521	47.3021	3	2	1	3	0.91	1	0	11.375	1	30.6559	42.0521	42.5641	1	43.8068	1.2427	45.5391	46.7728
56.9352	62.1852	4	3	1	1	0.15	1	1	9.625	1	47.291	56.9352	57.4357	0	58.4143	0.97858	60.4146	n/a
72.686	77.936	5	1	1	2	0.61	0	1	10.5	0	62.1642	72.686	73.1951	1	74.4298	1.2347	76.1609	n/a
89.30799999999998	94.55799999999998	6	3	1	1	0.31	1	0	11.375	0	77.9106	89.30799999999998	89.805	0	90.8533	1.0483	92.7917	n/a
105.0711	110.3211	7	3	1	3	0.79	1	0	10.5	0	94.5436	105.0711	105.571	1	107.2372	1.6662	108.5424	109.7815
120.8229	126.0729	8	1	1	1	0.1	0	0	10.5	0	110.3112	120.8229	121.3235	1	123.3086	1.9852	124.2999	n/a
135.6974	140.9474	9	3	1	2	0.58	1	1	9.625	0	126.0496	135.6974	136.1974	0	137.3562	1.1588	139.1798	n/a
152.3274	157.5774	10	3	1	2	0.36	1	0	11.375	1	140.9295	152.3274	152.8269	0	153.94	1.1131	155.7951	n/a
168.0755	173.3255	11	1	1	3	0.82	0	0	10.5	1	157.5591	168.0755	168.576	1	169.5875	1.0114	171.5557	n/a
183.8365	189.0865	12	3	1	1	0.22	1	0	10.5	1	173.3055	183.8365	184.3269	0	185.4111	1.0842	187.3135	n/a
199.5829	204.8329	13	3	1	3	0.87	0	0	10.5	1	189.0654	199.5829	200.0828	1	201.5546	1.4718	203.0652	n/a
215.3293	220.5793	14	1	1	2	0.45	0	0	10.5	0	204.8163	215.3293	215.8292	1	216.8744	1.0452	218.8153	n/a
230.2113	235.4613	15	2	1	3	0.7	0	1	9.625	0	220.5672	230.2113	230.7119	1	231.9059	1.1941	233.6917	n/a
245.9622	251.2122	16	1	1	1	0.27	0	1	10.5	1	235.4413	245.9622	246.4627	1	247.8575	1.3948	249.4492	n/a
262.5852	267.8352	17	2	1	2	0.4	0	0	11.375	0	251.1877	262.5852	263.0851	1	265.0731	1.988	266.0676	n/a
278.3316	283.5816	18	1	1	1	0.18	0	0	10.5	1	267.8197	278.3316	278.8481	1	280.5689	1.7208	281.8186	n/a
294.0947	299.3447	19	1	1	3	0.74	0	0	10.5	0	283.5803	294.0947	294.5996	1	295.8485	1.2489	297.5771	n/a
309.8577	315.1077	20	3	1	2	0.52	1	0	10.5	1	299.3267	309.8577	310.3576	0	312.4323	2.0747	313.3236	n/a
324.721	329.971	21	1	1	1	0.34	0	1	9.625	0	315.0733	324.721	325.2337	1	326.2558	1.0221	328.2034	n/a
341.3516	346.6016	22	3	1	3	0.7	1	0	11.375	1	329.9555	341.3516	341.8522	1	343.2713	1.4191	344.8387	346.0694
356.2348	361.4848	23	2	1	2	0.65	0	1	9.625	0	346.5907	356.2348	356.7354	1	357.8871	1.1517	359.7129	n/a
372.86	378.11	24	2	1	2	0.49	1	0	11.375	1	361.4626	372.86	373.3599	1	374.7345	1.3746	376.3424	377.5775
387.7399	392.9899	25	2	1	2	0.57	0	1	9.625	0	378.0924	387.7399	388.2399	1	389.3582	1.1184	391.2237	n/a
