onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.57	15.82	1	1	1	2	0.53	0	0	10.5	0	0.12168	10.57	11.1206	1	12.9613	1.8407	14.0397	n/a
25.4163	30.6663	2	2	1	1	0.13	0	1	9.625	0	15.789	25.4163	25.9324	0	28.5286	2.5962	28.9121	n/a
42.0519	47.3019	3	2	1	3	0.91	1	0	11.375	1	30.6646	42.0519	42.5736	1	44.2878	1.7142	45.5368	46.7709
56.9257	62.1757	4	3	1	1	0.15	1	1	9.625	1	47.294	56.9257	57.4427	0	59.3674	1.9247	60.4105	n/a
72.6881	77.9381	5	1	1	2	0.61	0	1	10.5	0	62.1616	72.6881	73.188	1	74.5992	1.4112	76.1682	n/a
89.3081	94.5581	6	3	1	1	0.31	1	0	11.375	0	77.9202	89.3081	89.8174	1	91.6307	1.8132	92.793	94.027
105.0657	110.3157	7	3	1	3	0.79	1	0	10.5	0	94.5438	105.0657	105.5492	1	107.1823	1.633	108.5461	109.7802
120.8101	126.0601	8	1	1	1	0.1	0	0	10.5	0	110.3125	120.8101	121.3236	0	124.1255	2.8019	124.2926	n/a
135.6971	140.9471	9	3	1	2	0.58	1	1	9.625	0	126.0424	135.6971	136.1974	1	137.4854	1.288	139.1723	140.4106
152.3219	157.5719	10	3	1	2	0.36	1	0	11.375	1	140.922	152.3219	152.8221	1	154.5886	1.7665	155.8067	157.0385
168.0657	173.3157	11	1	1	3	0.82	0	0	10.5	1	157.5577	168.0657	168.5822	1	169.9079	1.3257	171.5481	n/a
183.8286	189.0786	12	3	1	1	0.22	1	0	10.5	1	173.2986	183.8286	184.3374	1	186.7398	2.4025	187.3111	188.5439
199.5781	204.8281	13	3	1	3	0.87	0	0	10.5	1	189.0606	199.5781	200.0783	1	201.3552	1.2769	203.063	n/a
215.3379	220.5879	14	1	1	2	0.45	0	0	10.5	0	204.8139	215.3379	215.8378	1	217.3229	1.4852	218.8202	n/a
230.2177	235.4677	15	2	1	3	0.7	0	1	9.625	0	220.5715	230.2177	230.7176	1	232.2904	1.5728	233.6943	n/a
245.9671	251.2171	16	1	1	1	0.27	0	1	10.5	1	235.4497	245.9671	246.4674	1	247.9139	1.4465	249.4464	n/a
262.5934	267.8434	17	2	1	2	0.4	0	0	11.375	0	251.196	262.5934	263.0933	1	264.5534	1.4602	266.0759	n/a
278.3397	283.5897	18	1	1	1	0.18	0	0	10.5	1	267.8277	278.3397	278.8498	1	280.5444	1.6946	281.8221	n/a
294.0904	299.3404	19	1	1	3	0.74	0	0	10.5	0	283.5718	294.0904	294.6025	1	296.2083	1.6058	297.5753	n/a
309.8489	315.0989	20	3	1	2	0.52	1	0	10.5	1	299.3347	309.8489	310.3488	1	311.5756	1.2268	313.3313	314.5636
324.7288	329.9788	21	1	1	1	0.34	0	1	9.625	0	315.0839	324.7288	325.2287	1	326.7672	1.5385	328.2111	n/a
341.3582	346.6082	22	3	1	3	0.7	1	0	11.375	1	329.9608	341.3582	341.8636	1	343.1587	1.2951	344.8315	346.0703
356.23800000000006	361.48800000000006	23	2	1	2	0.65	0	1	9.625	0	346.5903	356.23800000000006	356.7379	1	358.3263	1.5884	359.7055	n/a
372.8619	378.1119	24	2	1	2	0.49	1	0	11.375	1	361.4564	372.8619	373.3621	1	374.6859	1.3238	376.3333	377.5739
387.7357	392.9857	25	2	1	2	0.57	0	1	9.625	0	378.0828	387.7357	388.236	1	389.4534	1.2174	391.2207	n/a
403.4936	408.7436	26	2	1	1	0.22	1	1	10.5	1	392.9716	403.4936	403.9936	1	405.5167	1.5231	406.9615	408.2034
420.1181	425.3681	27	1	1	2	0.4	1	0	11.375	1	408.7255	420.1181	420.6229	1	421.7087	1.0858	423.5888	424.8326
435.8757	441.1257	28	2	1	1	0.27	1	0	10.5	1	425.355	435.8757	436.3759	1	437.556	1.1801	439.3518	440.5866
451.6166	456.8666	29	1	1	3	0.88	0	0	10.5	1	441.1013	451.6166	452.1336	1	453.5953	1.4618	455.1016	n/a
466.4954	471.7454	30	3	1	1	0.09	1	1	9.625	0	456.8524	466.4954	467.0074	0	469.1788	2.1714	469.9777	n/a
482.2481	487.4981	31	3	1	2	0.44	1	1	10.5	1	471.7275	482.2481	482.7483	1	484.0745	1.3263	485.7331	486.9708
498.8728	504.1228	32	3	1	3	0.95	1	0	11.375	0	487.4904	498.8728	499.3897	1	500.506	1.1162	502.3578	503.598
514.6173	519.8673	33	2	1	3	0.75	1	0	10.5	1	504.1197	514.6173	515.134	1	516.3616	1.2276	518.1165	519.3533
530.3881	535.6381	34	2	1	1	0.06	1	0	10.5	0	519.8662	530.3881	530.8969	0	532.985	2.0881	533.8729	n/a
545.2619	550.5119	35	2	1	3	0.83	0	1	9.625	0	535.6238	545.2619	545.7768	1	547.0969	1.3201	548.7467	n/a
561.0195	566.2695	36	1	1	3	0.66	0	1	10.5	1	550.4978	561.0195	561.5231	1	562.8242	1.3011	564.489	n/a
576.7694	582.0194	37	3	2	3	0.84	1	1	10.5	1	566.2387	576.7694	577.2693	1	578.4319	1.1625	580.2518	581.4874
592.5181	597.7681	38	1	2	3	0.93	0	1	10.5	0	582.0015	592.5181	593.0184	1	594.4149	1.3965	596.0031	n/a
609.1452	614.3952	39	3	2	1	0.2	1	0	11.375	1	597.7539	609.1452	609.6449	1	611.6226	1.9776	612.6276	613.8667
624.025	629.275	40	3	2	2	0.41	1	1	9.625	1	614.3786	624.025	624.5249	1	625.8941	1.3692	627.5073	628.7469
639.7743	645.0243	41	1	2	2	0.59	0	1	10.5	1	629.257	639.7743	640.2746	1	641.4536	1.179	643.2591	n/a
655.5343	660.7843	42	1	2	3	0.85	0	1	10.5	1	645.02	655.5343	656.0175	1	657.2448	1.2274	659.0167	n/a
672.1469999999998	677.3969999999998	43	3	2	3	0.92	1	0	11.375	1	660.7677	672.1469999999998	672.6469	1	673.8767	1.2298	675.6462	676.8784
687.0305	692.2805	44	2	2	3	0.8	0	1	9.625	0	677.3957	687.0305	687.5307	1	689.1085	1.5778	690.5260000000002	n/a
702.7731	708.0231	45	1	2	2	0.37	0	1	10.5	0	692.2756	702.7731	703.2729	1	705.1317	1.8588	706.2729	n/a
718.5361	723.7861	46	1	2	3	0.8	1	1	10.5	1	708.0239	718.5361	719.0360000000002	1	721.2749	2.239	722.0307	723.2632
734.2867	739.5367	47	2	2	2	0.62	0	1	10.5	0	723.7848	734.2867	734.7869	1	736.3785	1.5916	737.7814	n/a
