onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5533	15.8033	1	1	1	2	0.53	0	0	10.5	0	0.1208	10.5533	11.1044	1	12.1773	1.0728	14.0361	n/a
25.4141	30.6641	2	2	1	1	0.13	0	1	9.625	0	15.7839	25.4141	25.9149	0	26.8328	0.91788	28.9038	n/a
42.0281	47.2781	3	2	1	3	0.91	1	0	11.375	1	30.6638	42.0281	42.5563	1	43.9764	1.4201	45.5344	46.7747
56.9076	62.1576	4	3	1	1	0.15	1	1	9.625	1	47.2878	56.9076	57.4074	0	58.61600000000001	1.2086	60.4119	n/a
72.6706	77.9206	5	1	1	2	0.61	0	1	10.5	0	62.1653	72.6706	73.1705	1	74.4074	1.2369	76.1578	n/a
89.2832	94.5332	6	3	1	1	0.31	1	0	11.375	0	77.9193	89.2832	89.7999	0	90.855	1.0551	92.7885	n/a
105.0463	110.2963	7	3	1	3	0.79	1	0	10.5	0	94.5487	105.0463	105.5461	1	106.9906	1.4445	108.5454	109.7796
120.7925	126.0425	8	1	1	1	0.1	0	0	10.5	0	110.3115	120.7925	121.2923	1	122.7977	1.5054	124.2967	n/a
135.6725	140.9225	9	3	1	2	0.58	1	1	9.625	0	126.05	135.6725	136.1854	1	137.5577	1.3722	139.1742	140.4123
152.3185	157.5685	10	3	1	2	0.36	1	0	11.375	1	140.9274	152.3185	152.8183	0	153.917	1.0987	155.805	n/a
168.0648	173.3148	11	1	1	3	0.82	0	0	10.5	1	157.5582	168.0648	168.5647	1	169.7564	1.1918	171.5507	n/a
183.8111	189.0611	12	3	1	1	0.22	1	0	10.5	1	173.3135	183.8111	184.311	0	185.4118	1.1008	187.3132	n/a
199.574	204.824	13	3	1	3	0.87	0	0	10.5	1	189.0664	199.574	200.0701	1	201.0675	0.99743	203.0588	n/a
215.3203	220.5703	14	1	1	2	0.45	0	0	10.5	0	204.8122	215.3203	215.8202	1	216.5632	0.74297	218.8047	n/a
230.2001	235.4501	15	2	1	3	0.7	0	1	9.625	0	220.569	230.2001	230.6934	1	231.4184	0.72501	233.6826	n/a
245.9465	251.1965	16	1	1	1	0.27	0	1	10.5	1	235.4354	245.9465	246.4463	1	247.554	1.1076	249.4456	n/a
262.5758	267.8258	17	2	1	2	0.4	0	0	11.375	0	251.1951	262.5758	263.0757	1	263.9136	0.83788	266.0586	n/a
278.3314	283.5814	18	1	1	1	0.18	0	0	10.5	1	267.8246	278.3314	278.822	0	280.3216	1.4996	281.8213	n/a
294.0771	299.3271	19	1	1	3	0.74	0	0	10.5	0	283.5743	294.0771	294.5781	1	295.5924	1.0144	297.5676	n/a
309.8314	315.0814	20	3	1	2	0.52	1	0	10.5	1	299.3201	309.8314	310.3313	0	311.3759	1.0446	313.3304	n/a
324.7112	329.9612	21	1	1	1	0.34	0	1	9.625	0	315.0801	324.7112	325.2111	1	326.1597	0.9486	328.2067	n/a
341.3311	346.5811	22	3	1	3	0.7	1	0	11.375	1	329.96	341.3311	341.832	1	342.88699999999994	1.055	344.8230000000001	346.0659
356.2253	361.4753	23	2	1	2	0.65	0	1	9.625	0	346.5908	356.2253	356.7095	1	357.5186	0.80906	359.7029	n/a
372.8393	378.0893	24	2	1	2	0.49	1	0	11.375	1	361.4526	372.8393	373.3402	1	374.606	1.2658	376.3323	377.5719
387.7168	392.9668	25	2	1	2	0.57	0	1	9.625	0	378.0823	387.7168	388.2177	1	388.982	0.7642899999999999	391.2122	n/a
403.4625	408.7125	26	2	1	1	0.22	1	1	10.5	1	392.9618	403.4625	403.9802	0	405.3171	1.3369	406.9689	n/a
420.1054	425.3554	27	1	1	2	0.4	1	0	11.375	1	408.7222	420.1054	420.6053	1	421.4767	0.87139	423.5878	424.8313
435.8557	441.1057	28	2	1	1	0.27	1	0	10.5	1	425.3541	435.8557	436.3683	0	438.1403	1.7721	439.3507	n/a
451.6015	456.8515	29	1	1	3	0.88	0	0	10.5	1	441.1004	451.6015	452.1191	1	453.2036	1.0845	455.0972	n/a
466.479	471.729	30	3	1	1	0.09	1	1	9.625	0	456.8467	466.479	466.9966	0	468.3232	1.3266	469.9769	n/a
482.2414	487.4914	31	3	1	2	0.44	1	1	10.5	1	471.7266	482.2414	482.7424	0	484.6508	1.9085	485.7311	n/a
498.8721	504.1221	32	3	1	3	0.95	1	0	11.375	0	487.4895	498.8721	499.3731	1	500.4582	1.0851	502.3618	503.5953
514.6346	519.8846	33	2	1	3	0.75	1	0	10.5	1	504.1151	514.6346	515.1355	1	516.0337	0.89818	518.1155	519.3481
530.3962	535.6462	34	2	1	1	0.06	1	0	10.5	0	519.8652	530.3962	530.8813	0	531.8012	0.91997	533.8701	n/a
545.2425	550.4925	35	2	1	3	0.83	0	1	9.625	0	535.6233	545.2425	545.7592	1	546.5929	0.83373	548.7474	n/a
561.0222	566.2722	36	1	1	3	0.66	0	1	10.5	1	550.4914	561.0222	561.5055	1	562.9124	1.4069	564.4932	n/a
576.7686	582.0186	37	3	2	3	0.84	1	1	10.5	1	566.2465	576.7686	577.2516	1	578.0878	0.83614	580.251	581.4825
592.5148	597.7648	38	1	2	3	0.93	0	1	10.5	0	582.0006	592.5148	593.0147	1	593.9593	0.9446	596.0015	n/a
609.1274	614.3774	39	3	2	1	0.2	1	0	11.375	1	597.7548	609.1274	609.6442	0	610.6788	1.0346	612.6322	n/a
624.0241	629.2741	40	3	2	2	0.41	1	1	9.625	1	614.3855	624.0241	624.524	1	625.6782	1.1543	627.5098	628.7424
639.7871	645.0371	41	1	2	2	0.59	0	1	10.5	1	629.263	639.7871	640.2869	1	641.3658	1.0789	643.2555	n/a
655.5333	660.7833	42	1	2	3	0.85	0	1	10.5	1	645.0087	655.5333	656.0332	1	656.8143	0.7811	659.0157	n/a
672.1627	677.4127	43	3	2	3	0.92	1	0	11.375	1	660.7654	672.1627	672.6459	1	673.4768	0.83094	675.6318	676.8735
