onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5622	15.8122	1	1	1	2	0.53	0	0	10.5	0	0.11439	10.5622	11.1197	0	12.6101	1.4904	14.0372	n/a
25.4185	30.6685	2	2	1	1	0.13	0	1	9.625	0	15.7856	25.4185	25.9253	0	26.914	0.98862	28.9078	n/a
42.055	47.305	3	2	1	3	0.91	1	0	11.375	1	30.6676	42.055	42.5664	1	44.2171	1.6507	45.5374	46.7707
56.935	62.185	4	3	1	1	0.15	1	1	9.625	1	47.2871	56.935	57.4349	0	58.673	1.2382	60.415	n/a
72.6813	77.9313	5	1	1	2	0.61	0	1	10.5	0	62.167	72.6813	73.1812	1	74.4082	1.2271	76.1637	n/a
89.3128	94.5628	6	3	1	1	0.31	1	0	11.375	0	77.9137	89.3128	89.8127	0	90.9762	1.1635	92.7934	n/a
105.0615	110.3115	7	3	1	3	0.79	1	0	10.5	0	94.5456	105.0615	105.5614	0	106.5517	0.9903	108.5443	n/a
120.8268	126.0768	8	1	1	1	0.1	0	0	10.5	0	110.306	120.8268	121.3203	1	123.2875	1.9672	124.293	n/a
135.6922	140.9422	9	3	1	2	0.58	1	1	9.625	0	126.0525	135.6922	136.2002	0	137.3108	1.1106	139.1752	n/a
152.3242	157.5742	10	3	1	2	0.36	1	0	11.375	1	140.9251	152.3242	152.8241	0	154.1828	1.3587	155.80700000000004	n/a
168.0763	173.3263	11	1	1	3	0.82	0	0	10.5	1	157.55700000000004	168.0763	168.5762	1	169.7102	1.1341	171.5557	n/a
183.8059	189.0559	12	3	1	1	0.22	1	0	10.5	1	173.3083	183.8059	184.3058	0	185.4935	1.1877	187.305	n/a
199.5702	204.8202	13	3	1	3	0.87	0	0	10.5	1	189.0548	199.5702	200.0856	0	201.2134	1.1278	203.0531	n/a
215.3356	220.5856	14	1	1	2	0.45	0	0	10.5	0	204.8031	215.3356	215.8355	1	217.1013	1.2658	218.8018	n/a
230.1842	235.4342	15	2	1	3	0.7	0	1	9.625	0	220.5643	230.1842	230.712	0	231.9971	1.2851	233.6839	n/a
245.9664	251.2164	16	1	1	1	0.27	0	1	10.5	1	235.4339	245.9664	246.4663	1	247.6127	1.1464	249.4409	n/a
262.588	267.838	17	2	1	2	0.4	0	0	11.375	0	251.1904	262.588	263.0879	1	264.3081	1.2202	266.0705	n/a
278.3345	283.5845	18	1	1	1	0.18	0	0	10.5	1	267.8203	278.3345	278.8343	1	280.0758	1.2414	281.8168	n/a
294.0955	299.3455	19	1	1	3	0.74	0	0	10.5	0	283.5665	294.0955	294.5974	1	295.8033	1.2059	297.5634	n/a
309.8443	315.0943	20	3	1	2	0.52	1	0	10.5	1	299.313	309.8443	310.3443	0	311.7471	1.4028	313.3272	n/a
324.7264	329.9764	21	1	1	1	0.34	0	1	9.625	0	315.077	324.7264	325.2264	1	326.3949	1.1685	328.2062	n/a
341.3417	346.5917	22	3	1	3	0.7	1	0	11.375	1	329.956	341.3417	341.8533	0	343.0179	1.1646	344.8247	n/a
356.2333	361.4833	23	2	1	2	0.65	0	1	9.625	0	346.5854	356.2333	356.7332	0	357.8182	1.0849	359.7067	n/a
372.8557	378.1057	24	2	1	2	0.49	1	0	11.375	1	361.4566	372.8557	373.3557	1	374.5772	1.2215	376.3387	377.5694
387.7262	392.9762	25	2	1	2	0.57	0	1	9.625	0	378.0886	387.7262	388.2378	0	389.7771	1.5393	391.2087	n/a
403.4892	408.7392	26	2	1	1	0.22	1	1	10.5	1	392.9583	403.4892	403.9725	1	405.3525	1.3801	406.9694	408.1997
420.1188	425.3688	27	1	1	2	0.4	1	0	11.375	1	408.7213	420.1188	420.6187	1	421.8721	1.2534	423.5847	424.8288
435.8671	441.1171	28	2	1	1	0.27	1	0	10.5	1	425.3513	435.8671	436.3671	0	438.2399	1.8729	439.35	n/a
451.6158	456.8658	29	1	1	3	0.88	0	0	10.5	1	441.1	451.6158	452.1282	1	453.1275	0.99938	455.0988	n/a
466.4812	471.7312	30	3	1	1	0.09	1	1	9.625	0	456.8487	466.4812	466.9979	0	468.9191	1.9212	469.9809	n/a
482.2546	487.5046	31	3	1	2	0.44	1	1	10.5	1	471.7307	482.2546	482.7545	0	484.2228	1.4683	485.7294	n/a
498.8842	504.1342	32	3	1	3	0.95	1	0	11.375	0	487.4867	498.8842	499.3841	0	500.4307	1.0466	502.3614	n/a
514.6306	519.8806	33	2	1	3	0.75	1	0	10.5	1	504.1114	514.6306	515.1305	1	516.342	1.2115	518.113	519.3447
530.377	535.627	34	2	1	1	0.06	1	0	10.5	0	519.8626	530.377	530.8769	0	533.2461	2.3692	533.8593	n/a
545.258	550.508	35	2	1	3	0.83	0	1	9.625	0	535.6091	545.258	545.7579	1	547.0455	1.2876	548.7408	n/a
561.02	566.27	36	1	1	3	0.66	0	1	10.5	1	550.4908	561.02	561.5066	1	562.7809	1.2743	564.4895	n/a
576.7664	582.0164	37	3	2	3	0.84	1	1	10.5	1	566.2395	576.7664	577.2663	0	578.4526	1.1863	580.2488	n/a
592.5207	597.7707	38	1	2	3	0.93	0	1	10.5	0	581.9985	592.5207	593.0207	n/a	n/a	n/a	595.9952	n/a
609.1423	614.3923	39	3	2	1	0.2	1	0	11.375	1	597.7535	609.1423	609.6526	0	610.8199	1.1673	612.6247	n/a
624.0223	629.2723	40	3	2	2	0.41	1	1	9.625	1	614.3744	624.0223	624.5222	0	625.9318	1.4096	627.5048	n/a
639.7687	645.0187	41	1	2	2	0.59	0	1	10.5	1	629.2543	639.7687	640.2686	0	641.595	1.3264	643.251	n/a
655.5321	660.7821	42	1	2	3	0.85	0	1	10.5	1	645.0009	655.5321	656.0319999999998	1	657.2428	1.2108	658.9983	n/a
672.1474	677.3974	43	3	2	3	0.92	1	0	11.375	1	660.7483	672.1474	672.6612	0	673.8108	1.1496	675.6302	n/a
687.0293	692.2793	44	2	2	3	0.8	0	1	9.625	0	677.3802	687.0293	687.5245	1	688.802	1.2775	690.5125	n/a
702.7781	708.0281	45	1	2	2	0.37	0	1	10.5	0	692.2623	702.7781	703.2876	1	704.4497	1.1621	706.2610000000002	n/a
718.5173	723.7673	46	1	2	3	0.8	1	1	10.5	1	708.0197	718.5173	719.0339	1	720.1053	1.0714	722.0164	723.2511
734.2921	739.5421	47	2	2	2	0.62	0	1	10.5	0	723.7661	734.2921	734.7921	1	735.8328	1.0406	737.7628	n/a
750.0267	755.2767	48	2	2	1	0.11	1	1	10.5	0	739.5249	750.0267	750.5434	1	752.4485	1.9051	753.5260000000002	754.7566
766.6731	771.9231	49	3	2	2	0.5	1	0	11.375	0	755.2756	766.6731	767.173	1	768.5925	1.4195	770.1555	771.3876
781.5363	786.7863	50	3	2	2	0.63	1	1	9.625	0	771.9056	781.5363	782.038	1	783.336	1.2979	785.0211	786.265
798.1659	803.4159	51	2	2	3	0.89	0	0	11.375	1	786.7851	798.1659	798.6658	1	800.2398	1.574	801.653	n/a
813.0355	818.2855	52	1	2	3	0.71	0	1	9.625	0	803.4029	813.0355	813.5456	1	814.615	1.0695	816.5351	n/a
829.6675	834.9175	53	2	2	1	0.19	1	0	11.375	1	818.2851	829.6675	830.1675	0	831.5426	1.3751	833.1578	n/a
845.416	850.666	54	2	2	2	0.46	0	0	10.5	1	834.9169	845.416	845.9217	0	847.3184	1.3967	848.9159	n/a
860.2983	865.5483	55	3	2	1	0.07	0	1	9.625	0	850.6705	860.2983	860.8016	0	862.9742	2.1726	863.7841	n/a
876.9145	882.1645	56	3	2	2	0.55	1	0	11.375	1	865.5478	876.9145	877.4144	0	879.3179	1.9036	880.4137	n/a
891.7957	897.0457	57	2	2	3	0.67	1	1	9.625	1	882.1633	891.7957	892.2956	1	893.6053	1.3097	895.2952	896.5324
908.4276	913.6776	58	2	2	1	0.25	0	0	11.375	1	897.0452	908.4276	908.9274	1	909.9011	0.97371	911.9271	n/a
924.1871	929.4371	59	3	2	1	0.28	1	0	10.5	1	913.6771	924.1871	924.687	0	926.5245	1.8375	927.6759	n/a
939.0584	944.3084	60	1	2	1	0.32	0	1	9.625	0	929.4258	939.0584	939.5583	1	940.8271	1.2688	942.558	n/a
954.8135	960.0635	61	3	2	3	0.68	1	1	10.5	1	944.3079	954.8135	955.3136	1	958.0998	2.7862	958.3066	959.5409
970.5599	975.8099	62	1	2	1	0.07	0	1	10.5	0	960.0622	970.5599	971.0598	1	972.3231	1.2633	974.0591	n/a
987.1894	992.4394	63	2	2	2	0.54	1	0	11.375	0	975.8086	987.1894	987.6893	1	988.9469	1.2576	990.6884	991.9221
1002.9365	1008.1865	64	2	2	3	0.75	1	0	10.5	0	992.4382	1002.9365	1003.4362	1	1004.5304	1.0942	1006.436	1007.6759
1017.8185	1023.0685	65	1	2	1	0.23	0	1	9.625	0	1008.186	1017.8185	1018.3184	1	1019.1707	0.8522799999999999	1021.318	n/a
1033.5789	1038.8289	66	1	2	2	0.5	0	1	10.5	0	1023.068	1033.5789	1034.0787	1	1035.226	1.1473	1037.0667	n/a
1050.2084	1055.4584	67	3	2	1	0.14	1	0	11.375	0	1038.8276	1050.2084	1050.7083	1	1051.6414	0.93316	1053.6986	1054.9354
1065.0811	1070.3311	68	2	2	1	0.32	0	1	9.625	0	1055.4572	1065.0811	1065.5883	1	1066.9532	1.365	1068.5807	n/a
1081.7131	1086.9631	69	1	2	2	0.45	0	0	11.375	1	1070.3306	1081.7131	1082.2131	n/a	n/a	n/a	1085.2004	n/a
1097.4643	1102.7143	70	2	2	2	0.38	1	0	10.5	0	1086.9626	1097.4643	1097.9642	1	1098.7764	0.81225	1100.9635	1102.1947
1112.3442	1117.5942	71	3	2	3	0.76	1	1	9.625	0	1102.713	1112.3442	1112.8441	1	1113.8242	0.98011	1115.8267	1117.0717
1128.9591	1134.2091	72	1	2	1	0.16	0	0	11.375	0	1117.5934	1128.9591	1129.4758	1	1130.3519	0.8761	1132.4587	n/a
1143.8537	1149.1037	73	3	3	2	0.39	1	1	9.625	0	1134.2087	1143.8537	1144.3411	1	1145.3358	0.99461	1147.3408	1148.5771
1159.6001	1164.8501	74	2	3	1	0.24	1	1	10.5	0	1149.0908	1159.6001	1160.1066	1	1161.2548	1.1482	1163.0895	1164.3315
1176.2296	1181.4796	75	2	3	3	0.86	0	0	11.375	0	1164.8489	1176.2296	1176.7295	1	1177.7749	1.0454	1179.7215	n/a
1191.1039	1196.3539	76	1	3	2	0.56	0	1	9.625	0	1181.4784	1191.1039	1191.6095	1	1192.9265	1.317	1194.6036	n/a
1206.856	1212.106	77	3	3	3	0.81	1	1	10.5	0	1196.3583	1206.856	1207.3559	1	1208.3181	0.9622	1210.355	1211.5877
1222.6024	1227.8524	78	2	3	3	0.94	0	1	10.5	0	1212.1048	1222.6024	1223.1023	1	1224.1015	0.99922	1226.1015	n/a
1239.2333	1244.4833	79	2	3	2	0.51	1	0	11.375	1	1227.8511	1239.2333	1239.7332	1	1241.1975	1.4642	1242.7328	1243.9688
1254.1154	1259.3654	80	3	3	1	0.33	1	1	9.625	0	1244.4828	1254.1154	1254.6153	1	1255.8047	1.1894	1257.615	1258.847
1270.7473	1275.9973	81	1	3	2	0.42	0	0	11.375	0	1259.3647	1270.7473	1271.2473	1	1272.1005	0.85325	1274.2406	n/a
1286.496	1291.746	82	1	3	3	0.69	0	0	10.5	0	1275.9968	1286.496	1286.9959	1	1288.0519	1.056	1289.9957	n/a
1302.2509	1307.5009	83	2	3	3	0.72	0	0	10.5	0	1291.7455	1302.2509	1302.7508	1	1303.6916	0.94075	1305.7442	n/a
1317.9973	1323.2473	84	1	3	1	0.12	0	0	10.5	1	1307.4997	1317.9973	1318.4972	0	1320.1709	1.6737	1321.4963	n/a
1333.7437	1338.9937	85	3	3	2	0.55	1	0	10.5	1	1323.2461	1333.7437	1334.2436	1	1336.0353	1.7917	1337.2429	1338.4837
1349.5074	1354.7574	86	1	3	1	0.21	0	0	10.5	1	1339.0082	1349.5074	1350.0073	1	1351.9385	1.9312	1353.0059	n/a
1365.2559	1370.5059	87	3	3	2	0.47	1	0	10.5	0	1354.7567	1365.2559	1365.756	n/a	n/a	n/a	1368.7557	n/a
1380.1381	1385.3881	88	3	3	1	0.12	1	1	9.625	1	1370.5055	1380.1381	1380.6381	0	1382.234	1.5959	1383.6322	n/a
1395.8868	1401.1368	89	2	3	1	0.17	1	1	10.5	1	1385.3877	1395.8868	1396.3961	1	1397.6817	1.2856	1399.3865	1400.6199
1412.5257	1417.7757	90	1	3	2	0.64	0	0	11.375	0	1401.1363	1412.5257	1413.0257	1	1414.2014	1.1757	1416.0184	n/a
1428.2722	1433.5222	91	1	3	1	0.05	0	0	10.5	0	1417.7683	1428.2722	1428.7719	1	1430.3128	1.5408	1431.7671	n/a
1443.1495	1448.3995	92	1	3	3	0.85	0	1	9.625	0	1433.5209	1443.1495	1443.6495	1	1445.184	1.5345	1446.6346	n/a
1458.8985	1464.1485	93	1	3	1	0.29	0	1	10.5	0	1448.4009	1458.8985	1459.3984	1	1460.8242	1.4258	1462.3977	n/a
1475.5302	1480.7802	94	1	3	3	0.77	1	0	11.375	0	1464.1477	1475.5302	1476.0301	1	1477.2315	1.2014	1479.013	1480.2589
1491.2956	1496.5456	95	3	3	1	0.17	1	0	10.5	0	1480.7797	1491.2956	1491.7788	1	1493.3512	1.5724	1494.7784	1496.0124
