onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5566	15.8066	1	1	1	2	0.53	0	0	10.5	0	0.11712	10.5566	11.1235	1	12.4724	1.3489	14.0422	n/a
25.4296	30.6796	2	2	1	1	0.13	0	1	9.625	0	15.7886	25.4296	25.9196	1	27.2641	1.3445	28.9021	n/a
42.0543	47.3043	3	2	1	3	0.91	1	0	11.375	1	30.6654	42.0543	42.5661	1	44.3434	1.7773	45.5393	46.7725
56.929	62.179	4	3	1	1	0.15	1	1	9.625	1	47.2901	56.929	57.4288	0	59.8713	2.4424	60.4131	n/a
72.6753	77.9253	5	1	1	2	0.61	0	1	10.5	0	62.164	72.6753	73.1918	1	74.2386	1.0467	76.1576	n/a
89.3104	94.5604	6	3	1	1	0.31	1	0	11.375	0	77.9216	89.3104	89.8046	1	91.8706	2.066	92.7955	94.0271
105.0681	110.3181	7	3	1	3	0.79	1	0	10.5	0	94.5463	105.0681	105.5683	1	107.0134	1.4451	108.5363	109.782
120.8139	126.0639	8	1	1	1	0.1	0	0	10.5	0	110.3163	120.8139	121.3138	0	123.0294	1.7156	124.2962	n/a
135.6996	140.9496	9	3	1	2	0.58	1	1	9.625	0	126.046	135.6996	136.1998	1	137.9967	1.7969	139.1761	140.41299999999998
152.3243	157.5743	10	3	1	2	0.36	1	0	11.375	1	140.9354	152.3243	152.8245	1	154.9244	2.0999	155.8093	157.0411
168.0861	173.3361	11	1	1	3	0.82	0	0	10.5	1	157.5601	168.0861	168.5822	1	170.2838	1.7017	171.5518	n/a
183.8324	189.0824	12	3	1	1	0.22	1	0	10.5	1	173.3177	183.8324	184.3323	0	186.4191	2.0867	187.3148	n/a
199.5805	204.8305	13	3	1	3	0.87	0	0	10.5	1	189.0645	199.5805	200.0807	1	201.6348	1.5541	203.0653	n/a
215.3381	220.5881	14	1	1	2	0.45	0	0	10.5	0	204.8163	215.3381	215.8416	1	217.4985	1.6569	218.8075	n/a
230.212	235.462	15	2	1	3	0.7	0	1	9.625	0	220.5572	230.212	230.7122	1	232.2415	1.5293	233.6969	n/a
245.9529	251.2029	16	1	1	1	0.27	0	1	10.5	1	235.4477	245.9529	246.4697	1	248.7774	2.3077	249.4503	n/a
262.5972	267.8472	17	2	1	2	0.4	0	0	11.375	0	251.1999	262.5972	263.0971	1	264.7211	1.624	266.063	n/a
278.3435	283.5935	18	1	1	1	0.18	0	0	10.5	1	267.8301	278.3435	278.8522	1	279.9923	1.1402	281.826	n/a
294.0929	299.3429	19	1	1	3	0.74	0	0	10.5	0	283.5756	294.0929	294.5931	1	297.5586	2.9656	297.5777	n/a
309.836	315.086	20	3	1	2	0.52	1	0	10.5	1	299.3285	309.836	310.3527	0	313.3112	2.9586	313.3186	n/a
