onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5497	15.7997	1	1	1	2	0.53	0	0	10.5	0	0.11404	10.5497	11.1286	1	12.5939	1.4653	14.0363	n/a
25.4248	30.6748	2	2	1	1	0.13	0	1	9.625	0	15.7857	25.4248	25.9247	0	28.1452	2.2205	28.9085	n/a
42.0374	47.2874	3	2	1	3	0.91	1	0	11.375	1	30.6595	42.0374	42.5601	1	43.889	1.3289	45.5366	46.7706
56.9389	62.1889	4	3	1	1	0.15	1	1	9.625	1	47.2862	56.9389	57.4392	0	59.1682	1.729	60.4164	n/a
72.6803	77.9303	5	1	1	2	0.61	0	1	10.5	0	62.1661	72.6803	73.1801	1	74.4319	1.2518	76.1648	n/a
89.3097	94.5597	6	3	1	1	0.31	1	0	11.375	0	77.9157	89.3097	89.8215	0	91.8393	2.0177	92.7921	n/a
105.0622	110.3122	7	3	1	3	0.79	1	0	10.5	0	94.5418	105.0622	105.5558	0	106.8869	1.3311	108.547	n/a
120.819	126.069	8	1	1	1	0.1	0	0	10.5	0	110.3047	120.819	121.3201	1	122.7265	1.4065	124.288	n/a
135.6937	140.9437	9	3	1	2	0.58	1	1	9.625	0	126.051	135.6937	136.1988	1	139.1548	2.9561	139.1645	140.4082
152.3283	157.5783	10	3	1	2	0.36	1	0	11.375	1	140.9295	152.3283	152.8186	0	154.1576	1.339	155.8034	n/a
168.0764	173.3264	11	1	1	3	0.82	0	0	10.5	1	157.5542	168.0764	168.5763	1	169.917	1.3407	171.5568	n/a
183.8208	189.0708	12	3	1	1	0.22	1	0	10.5	1	173.3066	183.8208	184.3339	0	185.5965	1.2626	187.3033	n/a
199.5838	204.8338	13	3	1	3	0.87	0	0	10.5	1	189.0528	199.5838	200.0837	1	202.0921	2.0085	203.0594	n/a
215.3322	220.5822	14	1	1	2	0.45	0	0	10.5	0	204.8104	215.3322	215.8324	1	217.7477	1.9153	218.8124	n/a
230.2099	235.4599	15	2	1	3	0.7	0	1	9.625	0	220.568	230.2099	230.7098	1	232.5551	1.8453	233.6911	n/a
245.9637	251.2137	16	1	1	1	0.27	0	1	10.5	1	235.4419	245.9637	246.4639	1	247.9387	1.4748	249.4385	n/a
262.5884	267.8384	17	2	1	2	0.4	0	0	11.375	0	251.1882	262.5884	263.0886	1	264.8181	1.7294	266.0681	n/a
278.3319	283.5819	18	1	1	1	0.18	0	0	10.5	1	267.8177	278.3319	278.8463	1	280.0899	1.2436	281.8143	n/a
294.0949	299.3449	19	1	1	3	0.74	0	0	10.5	0	283.5652	294.0949	294.5948	1	296.6088	2.014	297.5718	n/a
309.8446	315.0946	20	3	1	2	0.52	1	0	10.5	1	299.3228	309.8446	310.3448	1	311.7527	1.4079	313.3235	314.5567
324.721	329.971	21	1	1	1	0.34	0	1	9.625	0	315.0804	324.721	325.2209	1	326.472	1.2511	328.2034	n/a
341.3504	346.6004	22	3	1	3	0.7	1	0	11.375	1	329.9543	341.3504	341.8503	1	343.2639	1.4136	344.8280000000001	346.0621
356.2302	361.4802	23	2	1	2	0.65	0	1	9.625	0	346.5826	356.2302	356.7301	1	357.983	1.2529	359.702	n/a
372.8597	378.1097	24	2	1	2	0.49	1	0	11.375	1	361.4623	372.8597	373.3596	1	374.6306	1.271	376.3266	377.5673
387.7323	392.9823	25	2	1	2	0.57	0	1	9.625	0	378.0777	387.7323	388.2394	1	390.0142	1.7748	391.2052	n/a
403.4899	408.7399	26	2	1	1	0.22	1	1	10.5	1	392.9681	403.4899	403.9901	1	405.5497	1.5596	406.958	408.1979
420.1152	425.3652	27	1	1	2	0.4	1	0	11.375	1	408.7178	420.1152	420.6151	1	421.9013	1.2861	423.5828	424.8261
435.8615	441.1115	28	2	1	1	0.27	1	0	10.5	1	425.3504	435.8615	436.3725	1	438.4365	2.0641	439.3439	440.5796
451.6245	456.8745	29	1	1	3	0.88	0	0	10.5	1	441.0936	451.6245	452.1243	1	453.4846	1.3603	455.098	n/a
466.4708	471.7208	30	3	1	1	0.09	1	1	9.625	0	456.8565	466.4708	466.9875	0	469.3716	2.3841	469.972	n/a
482.2506	487.5006	31	3	1	2	0.44	1	1	10.5	1	471.7228	482.2506	482.7505	1	485.4352	2.6847	485.733	486.963
498.88	504.13	32	3	1	3	0.95	1	0	11.375	0	487.4825	498.88	499.3799	1	501.3228	1.9429	502.3542	503.5914
514.627	519.877	33	2	1	3	0.75	1	0	10.5	1	504.112	514.627	515.1272	1	516.5941	1.4668	518.1118	519.347
530.3892	535.6392	34	2	1	1	0.06	1	0	10.5	0	519.8628	530.3892	530.8892	0	532.9455	2.0563	533.8696	n/a
545.2691	550.5191	35	2	1	3	0.83	0	1	9.625	0	535.6213	545.2691	545.769	1	547.4733	1.7043	548.7434	n/a
561.0161	566.2661	36	1	1	3	0.66	0	1	10.5	1	550.5011	561.0161	561.4995	1	563.6649	2.1653	564.4977	n/a
576.7617	582.0117	37	3	2	3	0.84	1	1	10.5	1	566.2519	576.7617	577.274	1	578.6162	1.3422	580.2441	581.4824
592.5246	597.7746	38	1	2	3	0.93	0	1	10.5	0	581.9938	592.5246	593.0245	1	594.7758	1.7513	595.9995	n/a
609.1394	614.3894	39	3	2	1	0.2	1	0	11.375	1	597.7567	609.1394	609.6396	0	612.4075	2.7679	612.6243	n/a
624.0299	629.2799	40	3	2	2	0.41	1	1	9.625	1	614.3752	624.0299	624.5171	0	627.4863	2.9692	627.4997	n/a
639.7708	645.0208	41	1	2	2	0.59	0	1	10.5	1	629.2493	639.7708	640.2801	1	641.2946	1.0145	643.2557	n/a
655.5284	660.7784	42	1	2	3	0.85	0	1	10.5	1	645.0122	655.5284	656.0287	1	657.4697	1.4409999999999998	659.0133	n/a
672.1559	677.4059	43	3	2	3	0.92	1	0	11.375	1	660.7643	672.1559	672.6558	1	674.2058	1.55	675.6382	676.8709
687.0357	692.2857	44	2	2	3	0.8	0	1	9.625	0	677.3889999999999	687.0357	687.5356	1	689.1653	1.6296	690.5181	n/a
702.7847	708.0347	45	1	2	2	0.37	0	1	10.5	0	692.2678	702.7847	703.285	1	704.9086	1.6236	706.2696	n/a
718.5283	723.7783	46	1	2	3	0.8	1	1	10.5	1	708.0205	718.5283	719.0282	1	720.14	1.1118	722.0108	723.2531
734.2832	739.5332	47	2	2	2	0.62	0	1	10.5	0	723.7781	734.2832	734.7835	1	736.3476	1.5641	737.7736	n/a
750.0242	755.2742	48	2	2	1	0.11	1	1	10.5	0	739.5235	750.0242	750.5244	0	753.1385	2.6141	753.5258	n/a
766.6503	771.9003	49	3	2	2	0.5	1	0	11.375	0	755.2767	766.6503	767.1502	0	770.1223	2.972	770.1505	n/a
781.5302	786.7802	50	3	2	2	0.63	1	1	9.625	0	771.9014	781.5302	782.03	1	784.9618	2.9318	785.0291	786.2637
798.1641	803.4141	51	2	2	3	0.89	0	0	11.375	1	786.7789	798.1641	798.6644	1	800.1694	1.505	801.6586	n/a
813.0394	818.2894	52	1	2	3	0.71	0	1	9.625	0	803.4083	813.0394	813.5393	1	814.7852	1.2459	816.5228	n/a
829.6688	834.9188	53	2	2	1	0.19	1	0	11.375	1	818.2905	829.6688	830.1687	1	832.7283	2.5596	833.1642	834.3973
845.4318	850.6818	54	2	2	2	0.46	0	0	10.5	1	834.9175	845.4318	845.9317	1	847.2479	1.3162	848.9142	n/a
860.295	865.545	55	3	2	1	0.07	0	1	9.625	0	850.6728	860.295	860.7948	0	862.3116	1.5168	863.7959	n/a
876.9243	882.1743	56	3	2	2	0.55	1	0	11.375	1	865.5466	876.9243	877.4358	n/a	n/a	n/a	880.4234	n/a
891.8042	897.0542	57	2	2	3	0.67	1	1	9.625	1	882.1731	891.8042	892.3041	1	893.711	1.4069	895.2942	896.5334
908.4341	913.6841	58	2	2	1	0.25	0	0	11.375	1	897.0529	908.4341	908.9344	1	910.5584	1.624	911.919	n/a
924.1799	929.4299	59	3	2	1	0.28	1	0	10.5	1	913.6823	924.1799	924.6798	0	926.3175	1.6377	927.6791	n/a
