onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResultOnset	ResponseOnset	ResponseTime	ShockOnset
10.5526	15.8026	1	1	1	2	0.53	0	0	10.5	0	0.11867	10.5526	11.1196	n/a	14.0367	n/a	n/a	n/a
25.4159	30.6659	2	2	1	1	0.13	0	1	9.625	0	15.7862	25.4159	25.9324	1	28.9008	28.0574	2.125	n/a
42.0321	47.2821	3	2	1	3	0.91	1	0	11.375	1	30.6646	42.0321	42.5628	1	45.536	44.218	1.6552	46.7709
56.9321	62.1821	4	3	1	1	0.15	1	1	9.625	1	47.2879	56.9321	57.4326	0	60.4079	59.0807	1.6481	n/a
72.6829	77.9329	5	1	1	2	0.61	0	1	10.5	0	62.1575	72.6829	73.1883	1	76.1543	74.7204	1.5321	n/a
89.3181	94.5681	6	3	1	1	0.31	1	0	11.375	0	77.922	89.3181	89.8187	0	92.7886	91.1674	1.3487	n/a
105.0689	110.3189	7	3	1	3	0.79	1	0	10.5	0	94.5405	105.0689	105.5643	0	108.5469	107.4316	1.8673	n/a
120.8198	126.0698	8	1	1	1	0.1	0	0	10.5	0	110.3081	120.8198	121.3204	0	124.2932	122.8872	1.5668	n/a
135.6907	140.9407	9	3	1	2	0.58	1	1	9.625	0	126.0429	135.6907	136.1906	0	139.1734	137.5027	1.3121	n/a
152.3215	157.5715	10	3	1	2	0.36	1	0	11.375	1	140.9255	152.3215	152.8221	0	155.8028	154.3025	1.4804	n/a
168.0724	173.3224	11	1	1	3	0.82	0	0	10.5	1	157.5524	168.0724	168.57299999999995	1	171.549	170.1987	1.6257	n/a
183.8297	189.0797	12	3	1	1	0.22	1	0	10.5	1	173.2988	183.8297	184.3296	0	187.2956	185.8459	1.5162	n/a
199.5762	204.8262	13	3	1	3	0.87	0	0	10.5	1	189.0624	199.5762	200.0761	0	203.0613	201.6853	1.6092	n/a
215.325	220.575	14	1	1	2	0.45	0	0	10.5	0	204.8132	215.325	215.8255	1	218.8121	217.421	1.5955	n/a
