onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResultOnset	ResponseOnset	ResponseTime	ShockOnset
230.2082	235.4582	15	2	1	3	0.7	0	1	9.625	0	220.5641	230.2082	230.7024	1	233.6849	232.4527	1.7503	n/a
245.959	251.209	16	1	1	1	0.27	0	1	10.5	1	235.4346	245.959	246.4655	0	249.4313	247.8124	1.3469	n/a
262.5785	267.8285	17	2	1	2	0.4	0	0	11.375	0	251.1815	262.5785	263.0616	1	266.0647	264.3798	1.3183	n/a
278.3451	283.5951	18	1	1	1	0.18	0	0	10.5	1	267.8166	278.3451	278.8414	1	281.8154	279.7238	0.8823700000000001	n/a
294.088	299.338	19	1	1	3	0.74	0	0	10.5	0	283.5736	294.088	294.5878	1	297.5704	295.7071	1.1193	n/a
309.8468	315.0968	20	3	1	2	0.52	1	0	10.5	1	299.32	309.8468	310.3473	0	313.3173	312.019	1.6717	n/a
324.6975	329.9475	21	1	1	1	0.34	0	1	9.625	0	315.0692	324.6975	325.2306	1	328.2005	326.7865	1.5559	n/a
341.3485	346.5985	22	3	1	3	0.7	1	0	11.375	1	329.9524	341.3485	341.8491	0	344.8263	343.7547	1.9057	n/a
356.2071	361.4571	23	2	1	2	0.65	0	1	9.625	0	346.5759	356.2071	356.7323	1	359.7061	358.5219	1.7895	n/a
372.8533	378.1033	24	2	1	2	0.49	1	0	11.375	1	361.4558	372.8533	373.3532	1	376.3206	375.1452	1.7919999999999998	377.565
387.7335	392.9835	25	2	1	2	0.57	0	1	9.625	0	378.0854	387.7335	388.2172	1	391.2039	390.2011	1.9839	n/a
403.4676	408.7176	26	2	1	1	0.22	1	1	10.5	1	392.9653	403.4676	403.9849	0	406.9621	406.6887	2.7038	n/a
420.0924	425.3424	27	1	1	2	0.4	1	0	11.375	1	408.7117	420.0924	420.6091	1	423.5915	421.9443	1.3352	424.8223
435.8556	441.1056	28	2	1	1	0.27	1	0	10.5	1	425.3419	435.8556	436.3555	0	439.3407	437.7597	1.4042	n/a
451.5877	456.8377	29	1	1	3	0.88	0	0	10.5	1	441.0926	451.5877	452.1186	1	455.0917	453.8874	1.7689	n/a
466.4986	471.7486	30	3	1	1	0.09	1	1	9.625	0	456.8508	466.4986	466.9883	0	469.9748	468.711	1.7227	n/a
482.2284	487.4784	31	3	1	2	0.44	1	1	10.5	1	471.7268	482.2284	482.7449	0	485.7275	484.3026	1.5577	n/a
498.8746	504.1246	32	3	1	3	0.95	1	0	11.375	0	487.4777	498.8746	499.3578	1	502.3441	501.5664	2.2086	503.5845
514.6246	519.8746	33	2	1	3	0.75	1	0	10.5	1	504.1067	514.6246	515.1084	1	518.1035	517.2779	2.1696	519.3381
530.384	535.634	34	2	1	1	0.06	1	0	10.5	0	519.8638	530.384	530.876	0	533.8627	532.9817	2.1057	n/a
545.2587	550.5087	35	2	1	3	0.83	0	1	9.625	0	535.6161	545.2587	545.7593	1	548.7297	547.9812	2.2219	n/a
561.0104	566.2604	36	1	1	3	0.66	0	1	10.5	1	550.4811	561.0104	561.5102	1	564.4799	562.9331	1.4228	n/a
576.7604	582.0104	37	3	2	3	0.84	1	1	10.5	1	566.2425	576.7604	577.261	0	580.2393	579.9726	2.7116	n/a
592.5113	597.7613	38	1	2	3	0.93	0	1	10.5	0	581.9889	592.5113	593.0118	1	595.9856	594.1971	1.1852	n/a
609.1328	614.3828	39	3	2	1	0.2	1	0	11.375	1	597.7353	609.1328	609.6326	0	612.6168	611.1076	1.475	n/a
623.9963	629.2463	40	3	2	2	0.41	1	1	9.625	1	614.3689	623.9963	624.4969	0	627.4951	626.4833	1.9864	n/a
639.7472	644.9972	41	1	2	2	0.59	0	1	10.5	1	629.2521	639.7472	640.2477	1	643.2509	641.7631	1.5154	n/a
655.5055	660.7555	42	1	2	3	0.85	0	1	10.5	1	645.003	655.5055	656.0054	1	659.0018	657.331	1.3256	n/a
672.135	677.385	43	3	2	3	0.92	1	0	11.375	1	660.7543	672.135	672.635	1	675.6204	674.7624	2.1274	676.8625
686.9997	692.2497	44	2	2	3	0.8	0	1	9.625	0	677.3838	686.9997	687.5149	1	690.5035	689.2739	1.759	n/a
702.7673	708.0173	45	1	2	2	0.37	0	1	10.5	0	692.2637	702.7673	703.2678	1	706.2605	705.5535	2.2857	n/a
718.5182	723.7682	46	1	2	3	0.8	1	1	10.5	1	708.0101	718.5182	719.0187	1	722.0069	720.2336	1.2149	723.2466
734.2709	739.5209	47	2	2	2	0.62	0	1	10.5	0	723.7573	734.2709	734.7708	1	737.7560000000002	737.6731	2.9023	n/a
750.0199	755.2699	48	2	2	1	0.11	1	1	10.5	0	739.5196	750.0199	750.5204	0	753.5163	751.5928	1.0723	n/a
766.6469	771.8969	49	3	2	2	0.5	1	0	11.375	0	755.2660000000002	766.6469	767.1467	0	770.1459	769.3601	2.2134	n/a
781.5268	786.7768	50	3	2	2	0.63	1	1	9.625	0	771.8956	781.5268	782.0267	0	785.0258	784.048	2.0213	n/a
798.1568	803.4068	51	2	2	3	0.89	0	0	11.375	1	786.7774	798.1568	798.6573	1	801.6438	800.4874	1.8301	n/a
813.0362	818.2862	52	1	2	3	0.71	0	1	9.625	0	803.4051	813.0362	813.5361	1	816.5269999999998	814.9674	1.4312	n/a
829.6584	834.9084	53	2	2	1	0.19	1	0	11.375	1	818.2791	829.6584	830.159	0	833.1482	831.7666	1.6075	n/a
845.4122	850.6622	54	2	2	2	0.46	0	0	10.5	1	834.8979	845.4122	845.9121	1	848.8964	848.0631	2.151	n/a
860.2925	865.5425	55	3	2	1	0.07	0	1	9.625	0	850.6609	860.2925	860.7931	0	863.7796	862.3501	1.557	n/a
876.9217	882.1717	56	3	2	2	0.55	1	0	11.375	1	865.5315	876.9217	877.4283	0	880.4148	879.2134	1.7852	n/a
891.7943	897.0443	57	2	2	3	0.67	1	1	9.625	1	882.1668	891.7943	892.2948	1	895.2841	894.4452	2.1504	896.5244
908.4294	913.6794	58	2	2	1	0.25	0	0	11.375	1	897.0336	908.4294	908.9144	0	911.9165	911.0047	2.0904	n/a
924.1776	929.4276	59	3	2	1	0.28	1	0	10.5	1	913.6686	924.1776	924.6775	0	927.6675	925.9085	1.231	n/a
939.0469	944.2969	60	1	2	1	0.32	0	1	9.625	0	929.4192	939.0469	939.5573	1	942.5507	941.6211	2.0638	n/a
954.8039	960.0539	61	3	2	3	0.68	1	1	10.5	1	944.3026	954.8039	955.3038	n/a	958.303	n/a	n/a	n/a
970.5503	975.8003	62	1	2	1	0.07	0	1	10.5	0	960.0535	970.5503	971.0502	0	974.0524	972.9472	1.897	n/a
987.1837	992.4337	63	2	2	2	0.54	1	0	11.375	0	975.8043	987.1837	987.6843	1	990.679	989.4509	1.7666	991.9127
1002.9346	1008.1846	64	2	2	3	0.75	1	0	10.5	0	992.4286	1002.9346	1003.4427	1	1006.4253	1004.9386	1.4959	1007.6659
1017.8178	1023.0678	65	1	2	1	0.23	0	1	9.625	0	1008.1752	1017.8178	1018.3184	1	1021.3054	1020.2188	1.9004	n/a
1033.5693	1038.8193	66	1	2	2	0.5	0	1	10.5	0	1023.0569	1033.5693	1034.0692	1	1037.0558	1035.6978	1.6286	n/a
1050.1872	1055.4372	67	3	2	1	0.14	1	0	11.375	0	1038.818	1050.1872	1050.6877	0	1053.6909	1052.274	1.5863	n/a
1065.0704	1070.3204	68	2	2	1	0.32	0	1	9.625	0	1055.4429	1065.0704	1065.571	0	1068.5611	1068.2331	2.6621	n/a
1081.7083	1086.9583	69	1	2	2	0.45	0	0	11.375	1	1070.3109	1081.7083	1082.2061	1	1085.1927	1083.401	1.1949	n/a
1097.4547	1102.7047	70	2	2	2	0.38	1	0	10.5	0	1086.9447	1097.4547	1097.9546	1	1100.9435	1100.7049	2.7503	1102.1806
1112.3346	1117.5846	71	3	2	3	0.76	1	1	9.625	0	1102.7034	1112.3346	1112.8235	1	1115.8268	1114.984	2.1604	1117.0607
1128.9581	1134.2081	72	1	2	1	0.16	0	0	11.375	0	1117.5834	1128.9581	1129.4641	n/a	1132.4466	n/a	n/a	n/a
1143.8274	1149.0774	73	3	3	2	0.39	1	1	9.625	0	1134.1972	1143.8274	1144.3275	0	1147.3284	1145.9676	1.6401	n/a
1159.5755	1164.8255	74	2	3	1	0.24	1	1	10.5	0	1149.0806	1159.5755	1160.0928	0	1163.0793	1162.2869	2.1941	n/a
1176.2201	1181.4701	75	2	3	3	0.86	0	0	11.375	0	1164.8314	1176.2201	1176.7113	1	1179.7026	1177.8146	1.1033	n/a
1191.0833	1196.3333	76	1	3	2	0.56	0	1	9.625	0	1181.4665	1191.0833	1191.5945	1	1194.5824	1192.7583	1.1638	n/a
1206.8464	1212.0964	77	3	3	3	0.81	1	1	10.5	0	1196.3331	1206.8464	1207.3463	1	1210.332	1208.9899	1.6435	1211.5737
1222.5956	1227.8456	78	2	3	3	0.94	0	1	10.5	0	1212.0952	1222.5956	1223.0962	1	1226.0919	1225.6693	2.573	n/a
1239.2308	1244.4808	79	2	3	2	0.51	1	0	11.375	1	1227.8416	1239.2308	1239.7223	1	1242.7214	1241.9892	2.267	1243.955
1254.1023	1259.3523	80	3	3	1	0.33	1	1	9.625	0	1244.4712	1254.1023	1254.6022	0	1257.6014	1256.3408	1.7386	n/a
1270.7325	1275.9825	81	1	3	2	0.42	0	0	11.375	0	1259.3532	1270.7325	1271.2331	1	1274.2197	1273.5563	2.3232	n/a
1286.4834	1291.7334	82	1	3	3	0.69	0	0	10.5	0	1275.9806	1286.4834	1286.984	1	1289.9773	1289.0839999999996	2.1	n/a
1302.2342	1307.4842	83	2	3	3	0.72	0	0	10.5	0	1291.727	1302.2342	1302.7413	1	1305.7238	1304.8676	2.1263	n/a
1317.9878	1323.2378	84	1	3	1	0.12	0	0	10.5	1	1307.4735	1317.9878	1318.4876	n/a	1321.4722	n/a	n/a	n/a
1333.7358	1338.9858	85	3	3	2	0.55	1	0	10.5	1	1323.2409	1333.7358	1334.2365	0	1337.2332	1335.8118	1.5752	n/a
1349.4868	1354.7368	86	1	3	1	0.21	0	0	10.5	1	1338.9918	1349.4868	1349.9874	1	1352.9796	1352.8027	2.8153	n/a
1365.2436	1370.4936	87	3	3	2	0.47	1	0	10.5	0	1354.7427	1365.2436	1365.7435	0	1368.7415	1368.2339	2.4903	n/a
1380.1236	1385.3736	88	3	3	1	0.12	1	1	9.625	1	1370.4935	1380.1236	1380.6235	0	1383.6081	1382.7297	2.1062	n/a
1395.8716	1401.1216	89	2	3	1	0.17	1	1	10.5	1	1385.3722	1395.8716	1396.3723	0	1399.3691	1398.5773	2.205	n/a
1412.4995	1417.7495	90	1	3	2	0.64	0	0	11.375	0	1401.1187	1412.4995	1412.9994	1	1415.9987	1414.5452	1.5458	n/a
1428.2578	1433.5078	91	1	3	1	0.05	0	0	10.5	0	1417.7483	1428.2578	1428.7584	0	1431.7451	1430.2646	1.5062	n/a
1443.1259	1448.3759	92	1	3	3	0.85	0	1	9.625	0	1433.4969	1443.1259	1443.6258	1	1446.6281	1445.2563	1.6305	n/a
1458.8752	1464.1252	93	1	3	1	0.29	0	1	10.5	0	1448.3801	1458.8752	1459.3756	1	1462.3789	1461.4477	2.0721	n/a
1475.5104	1480.7604	94	1	3	3	0.77	1	0	11.375	0	1464.131	1475.5104	1476.011	1	1479.0009	1476.8315	0.8205399999999999	1480.2419
1491.2648	1496.5148	95	3	3	1	0.17	1	0	10.5	0	1480.7504	1491.2648	1491.7648	0	1494.7651	1493.3995	1.6347	n/a
1506.1448	1511.3948	96	2	3	3	0.78	1	1	9.625	0	1496.517	1506.1448	1506.645	1	1509.6315	1508.4466	1.8016	1510.8736
1521.8953	1527.1453	97	2	3	2	0.43	1	1	10.5	0	1511.3936	1521.8953	1522.3959	1	1525.3904	1524.9662	2.5703	1526.6270000000004
1537.6543	1542.9043	98	3	3	3	0.65	1	1	10.5	0	1527.1511	1537.6543	1538.1467	0	1541.1368	1540.8062	2.6594	n/a
1554.2673	1559.5173	99	3	3	3	0.73	0	0	11.375	1	1542.902	1554.2673	1554.767	1	1557.7685	1556.3096	1.5426	n/a
1570.0322	1575.2822	100	2	3	1	0.3	0	0	10.5	1	1559.5205	1570.0322	1570.5328	1	1573.5192	1573.2131	2.6803	n/a
1585.7831	1591.0331	101	1	3	3	0.9	0	0	10.5	0	1575.279	1585.7831	1586.2836	1	1589.2758	1587.517	1.2334	n/a
1600.6566	1605.9066	102	3	3	1	0.26	1	1	9.625	1	1591.0254	1600.6566	1601.1565	0	1604.1557	1603.4124	2.2559	n/a
1616.4029999999998	1621.6529999999998	103	1	3	2	0.48	0	1	10.5	1	1605.9054	1616.4029999999998	1616.9029	1	1619.9043	1618.5403	1.6374	n/a
1633.0356	1638.2856	104	2	3	1	0.08	0	0	11.375	0	1621.6563	1633.0356	1633.5362	0	1636.5317	1634.9878	1.4516	n/a
1647.9125	1653.1625	105	3	3	3	0.9	1	1	9.625	0	1638.2814	1647.9125	1648.4194	1	1651.4116	1650.0034	1.584	1652.6459
1663.6697	1668.9197	106	2	3	2	0.6	1	1	10.5	1	1653.1613	1663.6697	1664.1703	1	1667.1581	1666.267	2.0967	1668.3987
1679.422	1684.672	107	2	3	2	0.35	0	1	10.5	0	1668.909	1679.422	1679.9219	0	1682.9212	1682.7466	2.8247	n/a
1695.1715	1700.4215	108	3	3	2	0.6	1	1	10.5	1	1684.6707	1695.1715	1695.672	0	1698.6675	1697.7543	2.0823	n/a
