onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5663	15.8163	1	1	1	2	0.53	0	0	10.5	0	0.038235000000000005	10.5663	11.0876	1	12.1499	1.0623	14.0336	n/a
25.4191	30.6691	2	2	1	1	0.13	0	1	9.625	0	15.7866	25.4191	25.9292	0	27.6535	1.7243	28.9116	n/a
42.0586	47.3086	3	2	1	3	0.91	1	0	11.375	1	30.6613	42.0586	42.5698	1	44.0849	1.515	45.5337	46.7714
56.9327	62.1827	4	3	1	1	0.15	1	1	9.625	1	47.2906	56.9327	57.4382	0	59.4525	2.0142	60.4155	n/a
72.6845	77.9345	5	1	1	2	0.61	0	1	10.5	0	62.1654	72.6845	73.1844	1	74.7956	1.6112	76.1669	n/a
89.3138	94.5638	6	3	1	1	0.31	1	0	11.375	0	77.9165	89.3138	89.8137	1	91.4513	1.6377	92.7794	94.0251
105.0613	110.3113	7	3	1	3	0.79	1	0	10.5	0	94.5458	105.0613	105.5612	1	106.8102	1.249	108.5441	109.7785
120.8097	126.0597	8	1	1	1	0.1	0	0	10.5	0	110.3107	120.8097	121.3263	1	123.0338	1.7075	124.2925	n/a
135.6916	140.9416	9	3	1	2	0.58	1	1	9.625	0	126.0425	135.6916	136.2024	1	138.1694	1.967	139.1744	140.41
152.3233	157.5733	10	3	1	2	0.36	1	0	11.375	1	140.9245	152.3233	152.8317	0	154.7926	1.9609	155.8063	n/a
168.0614	173.3114	11	1	1	3	0.82	0	0	10.5	1	157.5561	168.0614	168.5779	1	169.952	1.3741	171.5603	n/a
183.8242	189.0742	12	3	1	1	0.22	1	0	10.5	1	173.31	183.8242	184.3369	0	185.7912	1.4544	187.3065	n/a
199.5704	204.8204	13	3	1	3	0.87	0	0	10.5	1	189.0562	199.5704	200.0869	1	201.5108	1.4238	203.0527	n/a
215.3338	220.5838	14	1	1	2	0.45	0	0	10.5	0	204.8024	215.3338	215.8337	1	217.4943	1.6606	218.8166	n/a
230.199	235.449	15	2	1	3	0.7	0	1	9.625	0	220.5666	230.199	230.6988	1	231.7736	1.0748	233.6818	n/a
245.9595	251.2095	16	1	1	1	0.27	0	1	10.5	1	235.4484	245.9595	246.4641	1	247.9809	1.5168	249.4469	n/a
262.5716	267.8216	17	2	1	2	0.4	0	0	11.375	0	251.1968	262.5716	263.0957	1	264.1168	1.0211	266.0708	n/a
278.3442	283.5942	18	1	1	1	0.18	0	0	10.5	1	267.8204	278.3442	278.8511	1	279.9881	1.1369	281.8272	n/a
