onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5638	15.8138	1	1	1	2	0.53	0	0	10.5	0	0.11617	10.5638	11.1308	1	12.8255	1.6947	14.032	n/a
25.4271	30.6771	2	2	1	1	0.13	0	1	9.625	0	15.7813	25.4271	25.9269	1	27.8493	1.9223	28.9096	n/a
42.0566	47.3066	3	2	1	3	0.91	1	0	11.375	1	30.6591	42.0566	42.5727	1	44.2726	1.6999	45.5389	46.7711
56.9365	62.1865	4	3	1	1	0.15	1	1	9.625	1	47.2887	56.9365	57.4364	0	59.7047	2.2682	60.4199	n/a
72.6927	77.9427	5	1	1	2	0.61	0	1	10.5	0	62.1686	72.6927	73.1828	1	74.408	1.2251	76.1653	n/a
89.3175	94.5675	6	3	1	1	0.31	1	0	11.375	0	77.915	89.3175	89.8177	1	91.176	1.3582	92.7949	94.0281
105.0589	110.3089	7	3	1	3	0.79	1	0	10.5	0	94.5446	105.0589	105.5588	1	106.711	1.1522	108.5434	109.781
120.822	126.072	8	1	1	1	0.1	0	0	10.5	0	110.311	120.822	121.3219	1	122.7269	1.405	124.3043	n/a
135.6853	140.9353	9	3	1	2	0.58	1	1	9.625	0	126.0541	135.6853	136.2019	1	138.1903	1.9885	139.1751	140.4127
152.3151	157.5651	10	3	1	2	0.36	1	0	11.375	1	140.934	152.3151	152.832	0	154.3578	1.5257	155.8001	n/a
168.0778	173.3278	11	1	1	3	0.82	0	0	10.5	1	157.5635	168.0778	168.5778	1	170.1577	1.58	171.5604	n/a
183.8306	189.0806	12	3	1	1	0.22	1	0	10.5	1	173.31	183.8306	184.3308	0	185.7012	1.3704	187.3066	n/a
199.5883	204.8383	13	3	1	3	0.87	0	0	10.5	1	189.0664	199.5883	200.0885	1	201.5334	1.4449	203.0565	n/a
215.3337	220.5837	14	1	1	2	0.45	0	0	10.5	0	204.8194	215.3337	215.8337	1	217.4525	1.6188	218.8163	n/a
230.2137	235.4637	15	2	1	3	0.7	0	1	9.625	0	220.5657	230.2137	230.7034	1	232.0685	1.3651	233.6961	n/a
245.9611	251.2111	16	1	1	1	0.27	0	1	10.5	1	235.4458	245.9611	246.4613	1	248.4199	1.9586	249.4459	n/a
262.5728	267.8228	17	2	1	2	0.4	0	0	11.375	0	251.1969	262.5728	263.086	1	264.3317	1.2457	266.072	n/a
278.3436	283.5936	18	1	1	1	0.18	0	0	10.5	1	267.8219	278.3436	278.8527	1	280.3553	1.5027	281.8184	n/a
294.0992	299.3492	19	1	1	3	0.74	0	0	10.5	0	283.5795	294.0992	294.5848	1	295.5547	0.96986	297.5697	n/a
309.8455	315.0955	20	3	1	2	0.52	1	0	10.5	1	299.3312	309.8455	310.3454	0	312.2588	1.9134	313.3279	n/a
324.7255	329.9755	21	1	1	1	0.34	0	1	9.625	0	315.0783	324.7255	325.2333	1	326.3932	1.1599	328.2078	n/a
341.355	346.605	22	3	1	3	0.7	1	0	11.375	1	329.9576	341.355	341.8582	1	343.0495	1.1914	344.8374	346.0683
356.235	361.485	23	2	1	2	0.65	0	1	9.625	0	346.5871	356.235	356.7348	1	357.9375	1.2027	359.7006	n/a
372.8567	378.1067	24	2	1	2	0.49	1	0	11.375	1	361.4677	372.8567	373.3644	1	374.9369	1.5726	376.3417	377.5736
387.7307	392.9807	25	2	1	2	0.57	0	1	9.625	0	378.0966	387.7307	388.2444	1	389.4805	1.2362	391.2157	n/a
403.4909	408.7409	26	2	1	1	0.22	1	1	10.5	1	392.9665	403.4909	403.9907	0	405.2241	1.2334	406.9733	n/a
420.1132	425.3632	27	1	1	2	0.4	1	0	11.375	1	408.7242	420.1132	420.6203	1	421.8716	1.2514	423.5982	424.8324
435.8668	441.1168	28	2	1	1	0.27	1	0	10.5	1	425.3526	435.8668	436.3712	0	437.8557	1.4844	439.3493	n/a
451.6132	456.8632	29	1	1	3	0.88	0	0	10.5	1	441.1068	451.6132	452.1131	1	453.2393	1.1262	455.097	n/a
466.486	471.736	30	3	1	1	0.09	1	1	9.625	0	456.848	466.486	466.99300000000005	0	468.7347	1.7416	469.9755	n/a
482.2395	487.4895	31	3	1	2	0.44	1	1	10.5	1	471.7252	482.2395	482.7395	0	484.0225	1.283	485.7386	n/a
498.8523	504.1023	32	3	1	3	0.95	1	0	11.375	0	487.4883	498.8523	499.3522	1	500.5017	1.1495	502.3536	503.5954
514.6155	519.8655	33	2	1	3	0.75	1	0	10.5	1	504.1178	514.6155	515.1265	1	516.1576	1.031	518.1145	519.3488
530.3786	535.6286	34	2	1	1	0.06	1	0	10.5	0	519.8642	530.3786	530.8676	0	532.445	1.5774	533.8689	n/a
545.2418	550.4918	35	2	1	3	0.83	0	1	9.625	0	535.6199	545.2418	545.7416	1	547.2366	1.495	548.743	n/a
