onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5452	15.7952	1	1	1	2	0.53	0	0	10.5	0	0.11401	10.5452	11.0951	1	12.9292	1.8342	14.0291	n/a
25.4101	30.6601	2	2	1	1	0.13	0	1	9.625	0	15.7774	25.4101	25.9101	0	27.0165	1.1064	28.9097	n/a
42.038	47.288	3	2	1	3	0.91	1	0	11.375	1	30.6597	42.038	42.5537	0	43.5605	1.0068	45.5371	n/a
56.9179	62.1679	4	3	1	1	0.15	1	1	9.625	1	47.2916	56.9179	57.4178	0	58.6724	1.2545	60.4071	n/a
72.6729	77.9229	5	1	1	2	0.61	0	1	10.5	0	62.1667	72.6729	73.1728	0	75.3435	2.1707	76.1633	n/a
89.2939	94.5439	6	3	1	1	0.31	1	0	11.375	0	77.9131	89.2939	89.7938	0	91.0552	1.2614	92.793	n/a
105.0403	110.2903	7	3	1	3	0.79	1	0	10.5	0	94.5426	105.0403	105.5569	0	107.1107	1.5538	108.5393	n/a
120.8034	126.0534	8	1	1	1	0.1	0	0	10.5	0	110.3057	120.8034	121.3033	0	122.7428	1.4395	124.2857	n/a
135.6843	140.9343	9	3	1	2	0.58	1	1	9.625	0	126.0521	135.6843	136.1842	0	137.5263	1.3421	139.1672	n/a
152.3128	157.5628	10	3	1	2	0.36	1	0	11.375	1	140.9171	152.3128	152.8162	0	154.406	1.5898	155.799	n/a
168.0649	173.3149	11	1	1	3	0.82	0	0	10.5	1	157.5491	168.0649	168.5649	1	170.1972	1.6324	171.5479	n/a
183.8223	189.0723	12	3	1	1	0.22	1	0	10.5	1	173.308	183.8223	184.3302	0	185.9331	1.6029	187.3047	n/a
199.5687	204.8187	13	3	1	3	0.87	0	0	10.5	1	189.0544	199.5687	200.0853	0	201.4525	1.3673	203.0512	n/a
215.3318	220.5818	14	1	1	2	0.45	0	0	10.5	0	204.8118	215.3318	215.8317	1	217.5483	1.7166	218.8143	n/a
230.1955	235.4455	15	2	1	3	0.7	0	1	9.625	0	220.5639	230.1955	230.7116	1	232.8599	2.1483	233.6774	n/a
245.9584	251.2084	16	1	1	1	0.27	0	1	10.5	1	235.4438	245.9584	246.4584	0	248.4517	1.9934	249.4413	n/a
262.5903	267.8403	17	2	1	2	0.4	0	0	11.375	0	251.1912	262.5903	263.0903	0	264.987	1.8967	266.0701	n/a
278.339	283.589	18	1	1	1	0.18	0	0	10.5	1	267.8232	278.339	278.839	0	280.1469	1.3079	281.822	n/a
294.0877	299.3377	19	1	1	3	0.74	0	0	10.5	0	283.5719	294.0877	294.5971	1	296.4427	1.8457	297.5706	n/a
309.8364	315.0864	20	3	1	2	0.52	1	0	10.5	1	299.3293	309.8364	310.3364	0	312.8019	2.4656	313.326	n/a
324.7069	329.9569	21	1	1	1	0.34	0	1	9.625	0	315.0757	324.7069	325.2234	0	326.874	1.6505	328.2061	n/a
341.3364	346.5864	22	3	1	3	0.7	1	0	11.375	1	329.9556	341.3364	341.853	0	343.7376	1.8846	344.8355	n/a
356.2163	361.4663	23	2	1	2	0.65	0	1	9.625	0	346.5852	356.2163	356.7163	1	358.7611	2.0449	359.6988	n/a
372.8478	378.0978	24	2	1	2	0.49	1	0	11.375	1	361.4487	372.8478	373.3478	0	375.5843	2.2366	376.3308	n/a
387.7131	392.9631	25	2	1	2	0.57	0	1	9.625	0	378.0806	387.7131	388.2298	1	390.288	2.0582	391.2128	n/a
403.4785	408.7285	26	2	1	1	0.22	1	1	10.5	1	392.9627	403.4785	403.9888	0	405.6959	1.7071	406.9615	n/a
420.1105	425.3605	27	1	1	2	0.4	1	0	11.375	1	408.7113	420.1105	420.6105	0	422.1675	1.557	423.5842	n/a
435.8649	441.1149	28	2	1	1	0.27	1	0	10.5	1	425.3433	435.8649	436.3648	0	437.7754	1.4107	439.3421	n/a
451.6113	456.8613	29	1	1	3	0.88	0	0	10.5	1	441.097	451.6113	452.1245	1	453.8469	1.7224	455.0936	n/a
466.4912	471.7412	30	3	1	1	0.09	1	1	9.625	0	456.8434	466.4912	466.9911	0	468.5504	1.5594	469.9736	n/a
482.222	487.472	31	3	1	2	0.44	1	1	10.5	1	471.7233	482.222	482.7218	0	484.134	1.4121	485.7216	n/a
498.8706	504.1206	32	3	1	3	0.95	1	0	11.375	0	487.4715	498.8706	499.3706	1	500.9654	1.5949	502.3536	503.5886
514.6025	519.8525	33	2	1	3	0.75	1	0	10.5	1	504.1033	514.6025	515.1301	1	517.2211	2.091	518.1021	519.3402
530.3767	535.6267	34	2	1	1	0.06	1	0	10.5	0	519.8623	530.3767	530.8846	0	532.3651	1.4805	533.8592	n/a
545.2566	550.5066	35	2	1	3	0.83	0	1	9.625	0	535.6087	545.2566	545.7565	1	547.5729	1.8164	548.7391	n/a
561.003	566.253	36	1	1	3	0.66	0	1	10.5	1	550.4887	561.003	561.5154	1	563.0759	1.5606	564.4854	n/a
576.7661	582.0161	37	3	2	3	0.84	1	1	10.5	1	566.2352	576.7661	577.266	1	579.0441	1.7781	580.2318	581.476
592.5128	597.7628	38	1	2	3	0.93	0	1	10.5	0	581.9982	592.5128	593.0127	1	595.1718	2.1590000000000003	595.9958	n/a
609.1447	614.3947	39	3	2	1	0.2	1	0	11.375	1	597.7456	609.1447	609.6447	0	611.1311	1.4864	612.6276	n/a
624.0219999999998	629.2719999999998	40	3	2	2	0.41	1	1	9.625	1	614.3776	624.0219999999998	624.5219	0	626.0669	1.5451	627.5044	n/a
639.7755	645.0255	41	1	2	2	0.59	0	1	10.5	1	629.2541	639.7755	640.2755	1	642.4348	2.1594	643.2509	n/a
655.5314	660.7814	42	1	2	3	0.85	0	1	10.5	1	645.0083	655.5314	656.0314	1	657.6978	1.6664	659.0071	n/a
672.1561	677.4061	43	3	2	3	0.92	1	0	11.375	1	660.7635	672.1561	672.6609	1	674.2098	1.5489	675.6267	676.8698
687.0243	692.2743	44	2	2	3	0.8	0	1	9.625	0	677.3889	687.0243	687.5408	1	689.4333	1.8925	690.5067	n/a
702.7707	708.0207	45	1	2	2	0.37	0	1	10.5	0	692.2563	702.7707	703.2872	0	704.8493	1.5621	706.253	n/a
718.5355	723.7855	46	1	2	3	0.8	1	1	10.5	1	708.0197	718.5355	719.0355	1	720.7130000000002	1.6774	722.0185	723.2522
734.2842	739.5342	47	2	2	2	0.62	0	1	10.5	0	723.7684	734.2842	734.7842	1	736.3843	1.6001	737.7671	n/a
750.0432	755.2932	48	2	2	1	0.11	1	1	10.5	0	739.5289	750.0432	750.5496	0	752.1197	1.5701	753.5256	n/a
766.6728	771.9228	49	3	2	2	0.5	1	0	11.375	0	755.2753	766.6728	767.1727	1	769.0552	1.8825	770.1552	771.3872
781.5527	786.8027	50	3	2	2	0.63	1	1	9.625	0	771.9048	781.5527	782.0526	1	783.487	1.4344	785.0299	786.265
798.1789	803.4289	51	2	2	3	0.89	0	0	11.375	1	786.7848	798.1789	798.6789	1	800.4866	1.8077	801.6619	n/a
813.0622	818.3122	52	1	2	3	0.71	0	1	9.625	0	803.4144	813.0622	813.5621	1	815.0783	1.5162	816.528	n/a
829.6763	834.9263	53	2	2	1	0.19	1	0	11.375	1	818.2943	829.6763	830.1762	0	831.7097	1.5335	833.1592	n/a
845.4416	850.6916	54	2	2	2	0.46	0	0	10.5	1	834.9092	845.4416	845.9416	0	847.6293	1.6877	848.9205	n/a
860.307	865.557	55	3	2	1	0.07	0	1	9.625	0	850.6745	860.307	860.818	0	862.2453	1.4273	863.79	n/a
876.931	882.181	56	3	2	2	0.55	1	0	11.375	1	865.5502	876.931	877.4475	1	879.2213	1.7737	880.422	881.6576
891.8109	897.0609	57	2	2	3	0.67	1	1	9.625	1	882.1797	891.8109	892.3274	1	893.8446	1.5172	895.304	896.5355
908.4404	913.6904	58	2	2	1	0.25	0	0	11.375	1	897.0595	908.4404	908.957	0	910.1801	1.2231	911.9361	n/a
924.2035	929.4535	59	3	2	1	0.28	1	0	10.5	1	913.6892	924.2035	924.7034	0	926.036	1.3326	927.686	n/a
939.067	944.317	60	1	2	1	0.32	0	1	9.625	0	929.4356	939.067	939.5669	0	941.1074	1.5405	942.55	n/a
954.8325	960.0825	61	3	2	3	0.68	1	1	10.5	1	944.3166	954.8325	955.3325	1	956.8754	1.5429	958.3154	959.5481
970.5811	975.8311	62	1	2	1	0.07	0	1	10.5	0	960.0653	970.5811	971.081	0	972.7144	1.6334	974.064	n/a
987.2131	992.4631	63	2	2	2	0.54	1	0	11.375	0	975.814	987.2131	987.7131	1	989.0982	1.3851	990.6961	991.9296
1002.9521	1008.2021	64	2	2	3	0.75	1	0	10.5	0	992.4458	1002.9521	1003.4785	1	1004.8898	1.4114	1006.4514	1007.6843
1017.8488	1023.0988	65	1	2	1	0.23	0	1	9.625	0	1008.201	1017.8488	1018.3487	0	1019.7294	1.3807	1021.3312	n/a
1033.5952	1038.8452	66	1	2	2	0.5	0	1	10.5	0	1023.0809	1033.5952	1034.1092	1	1035.9454	1.8362	1037.0777	n/a
1050.2248	1055.4748	67	3	2	1	0.14	1	0	11.375	0	1038.8273	1050.2248	1050.7247	0	1052.0807	1.356	1053.7075	n/a
1065.1066	1070.3566	68	2	2	1	0.32	0	1	9.625	0	1055.4574	1065.1066	1065.6066	0	1067.0723	1.4657	1068.5872	n/a
1081.7218	1086.9718	69	1	2	2	0.45	0	0	11.375	1	1070.3395	1081.7218	1082.2342	0	1083.8162	1.582	1085.2049	n/a
1097.4807	1102.7307	70	2	2	2	0.38	1	0	10.5	0	1086.9664	1097.4807	1097.9872	0	1099.8399	1.8528	1100.9631	n/a
1112.3606	1117.6106	71	3	2	3	0.76	1	1	9.625	0	1102.7128	1112.3606	1112.8693	1	1114.3754	1.5061	1115.843	1117.0767
1128.9846	1134.2346	72	1	2	1	0.16	0	0	11.375	0	1117.5927	1128.9846	1129.4901	0	1130.7513	1.2612	1132.4726	n/a
1143.8701	1149.1201	73	3	3	2	0.39	1	1	9.625	0	1134.2223	1143.8701	1144.37	0	1145.807	1.4369999999999998	1147.3497	n/a
1159.5998	1164.8498	74	2	3	1	0.24	1	1	10.5	0	1149.1022	1159.5998	1160.1164	0	1161.6781	1.5617	1163.099	n/a
1176.2473	1181.4973	75	2	3	3	0.86	0	0	11.375	0	1164.8486	1176.2473	1176.7473	1	1178.1659	1.4186	1179.7302	n/a
1191.1261	1196.3761	76	1	3	2	0.56	0	1	9.625	0	1181.4802	1191.1261	1191.6259	1	1193.4294	1.8035	1194.5956	n/a
1206.8724	1212.1224	77	3	3	3	0.81	1	1	10.5	0	1196.3581	1206.8724	1207.3781	1	1208.5969	1.2188	1210.3549	1211.5899
1222.6268	1227.8768	78	2	3	3	0.94	0	1	10.5	0	1212.1109	1222.6268	1223.1354	1	1224.4285	1.2931	1226.1097	n/a
1239.2587	1244.5087	79	2	3	2	0.51	1	0	11.375	1	1227.8596	1239.2587	1239.7587	1	1241.4445	1.6858	1242.7308	1243.9704
1254.1283	1259.3783	80	3	3	1	0.33	1	1	9.625	0	1244.4916	1254.1283	1254.6408	0	1256.2279	1.5872	1257.6107	n/a
1270.7412	1275.9912	81	1	3	2	0.42	0	0	11.375	0	1259.3604	1270.7412	1271.2577	0	1272.6117	1.354	1274.2402	n/a
1286.5048	1291.7548	82	1	3	3	0.69	0	0	10.5	0	1275.9899	1286.5048	1287.0214	1	1288.3554	1.334	1289.9877	n/a
1302.2701	1307.5201	83	2	3	3	0.72	0	0	10.5	0	1291.7377	1302.2701	1302.7701	1	1303.8511	1.081	1305.7498	n/a
1318.0188	1323.2688	84	1	3	1	0.12	0	0	10.5	1	1307.503	1318.0188	1318.5188	0	1319.9949	1.4761	1321.4961	n/a
