onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5578	15.8078	1	1	1	2	0.53	0	0	10.5	0	0.11282	10.5578	11.1255	1	12.2017	1.0762	14.0392	n/a
25.4073	30.6573	2	2	1	1	0.13	0	1	9.625	0	15.7872	25.4073	25.9247	0	26.8652	0.94049	28.9113	n/a
42.0592	47.3092	3	2	1	3	0.91	1	0	11.375	1	30.667	42.0592	42.5761	1	43.7288	1.1527	45.53	46.7745
56.9275	62.1775	4	3	1	1	0.15	1	1	9.625	1	47.2816	56.9275	57.4273	0	58.3925	0.96517	60.4126	n/a
72.6764	77.9264	5	1	1	2	0.61	0	1	10.5	0	62.1647	72.6764	73.1904	1	74.5677	1.3774	76.1729	n/a
89.3031	94.5531	6	3	1	1	0.31	1	0	11.375	0	77.9225	89.3031	89.803	0	90.7117	0.90873	92.7984	n/a
105.0662	110.3162	7	3	1	3	0.79	1	0	10.5	0	94.5519	105.0662	105.5661	0	107.6068	2.0407	108.5493	n/a
120.7961	126.0461	8	1	1	1	0.1	0	0	10.5	0	110.3178	120.7961	121.3134	0	124.0144	2.7011	124.3001	n/a
135.696	140.946	9	3	1	2	0.58	1	1	9.625	0	126.0612	135.696	136.2089	0	137.6301	1.4212	139.183	n/a
152.3311	157.5811	10	3	1	2	0.36	1	0	11.375	1	140.9351	152.3311	152.8215	0	153.8063	0.98482	155.804	n/a
168.06799999999996	173.31799999999996	11	1	1	3	0.82	0	0	10.5	1	157.5538	168.06799999999996	168.5846	1	169.5729	0.98827	171.5523	n/a
183.8326	189.0826	12	3	1	1	0.22	1	0	10.5	1	173.3042	183.8326	184.3331	0	185.3644	1.0312	187.3134	n/a
199.5833	204.8333	13	3	1	3	0.87	0	0	10.5	1	189.063	199.5833	200.0839	0	202.868	2.7841	203.0597	n/a
215.3402	220.5902	14	1	1	2	0.45	0	0	10.5	0	204.8224	215.3402	215.8401	1	217.4115	1.5714	218.8211	n/a
230.2201	235.4701	15	2	1	3	0.7	0	1	9.625	0	220.5731	230.2201	230.7199	1	231.5312	0.8112699999999999	233.6876	n/a
245.9679	251.2179	16	1	1	1	0.27	0	1	10.5	1	235.4396	245.9679	246.4685	1	248.3784	1.9099	249.4489	n/a
262.5958	267.8458	17	2	1	2	0.4	0	0	11.375	0	251.1984	262.5958	263.0956	0	266.0263	2.9306	266.0732	n/a
278.342	283.592	18	1	1	1	0.18	0	0	10.5	1	267.8278	278.342	278.8419	1	280.6977	1.8557	281.8244	n/a
294.0883	299.3383	19	1	1	3	0.74	0	0	10.5	0	283.5761	294.0883	294.605	1	295.7772	1.1722	297.5749	n/a
309.8552	315.1052	20	3	1	2	0.52	1	0	10.5	1	299.3268	309.8552	310.3558	0	312.2725	1.9167	313.3257	n/a
324.7216	329.9716	21	1	1	1	0.34	0	1	9.625	0	315.0833	324.7216	325.231	1	326.5042	1.2731	328.2086	n/a
341.3439	346.5939	22	3	1	3	0.7	1	0	11.375	1	329.9632	341.3439	341.8604	0	342.9597	1.0993	344.8271	n/a
356.2237	361.4737	23	2	1	2	0.65	0	1	9.625	0	346.5791	356.2237	356.7236	1	357.9436	1.22	359.7101	n/a
372.8581	378.1081	24	2	1	2	0.49	1	0	11.375	1	361.4622	372.8581	373.3587	1	375.1266	1.7679	376.3354	377.5728
387.7329	392.9829	25	2	1	2	0.57	0	1	9.625	0	378.0972	387.7329	388.2419	1	390.3903	2.1484	391.2154	n/a
403.4959	408.7459	26	2	1	1	0.22	1	1	10.5	1	392.965	403.4959	403.9958	0	404.9496	0.95382	406.9625	n/a
420.1104	425.3604	27	1	1	2	0.4	1	0	11.375	1	408.7144	420.1104	420.6109	1	421.5742	0.96324	423.5973	424.8315
435.8716	441.1216	28	2	1	1	0.27	1	0	10.5	1	425.3494	435.8716	436.3784	0	437.5647	1.1863	439.3482	n/a
451.6286	456.8786	29	1	1	3	0.88	0	0	10.5	1	441.1037	451.6286	452.1291	1	454.8683	2.7392	455.1004	n/a
466.4977	471.7477	30	3	1	1	0.09	1	1	9.625	0	456.8509	466.4977	466.9977	0	468.3318	1.3342	469.982	n/a
482.2289	487.4789	31	3	1	2	0.44	1	1	10.5	1	471.734	482.2289	482.7463	0	483.7634	1.0172	485.7329	n/a
498.8808	504.1308	32	3	1	3	0.95	1	0	11.375	0	487.4848	498.8808	499.3813	0	501.1466	1.7653	502.3558	n/a
514.6315	519.8815	33	2	1	3	0.75	1	0	10.5	1	504.1055	514.6315	515.1363	1	516.2106	1.0743	518.102	519.3467
530.3827	535.6327	34	2	1	1	0.06	1	0	10.5	0	519.8706	530.3827	530.8828	0	532.2097	1.3269	533.8692	n/a
545.2653	550.5153	35	2	1	3	0.83	0	1	9.625	0	535.6213	545.2653	545.7491	0	547.9535	2.2044	548.745	n/a
561.0165	566.2665	36	1	1	3	0.66	0	1	10.5	1	550.4946	561.0165	561.5167	1	562.5619	1.0452	564.4913	n/a
576.7668	582.0168	37	3	2	3	0.84	1	1	10.5	1	566.2409	576.7668	577.2549	0	578.3284	1.0735	580.2374	n/a
592.5014	597.7514	38	1	2	3	0.93	0	1	10.5	0	582.0059	592.5014	593.0181	n/a	n/a	n/a	596.0005	n/a
609.1307	614.3807	39	3	2	1	0.2	1	0	11.375	1	597.7567	609.1307	609.6473	0	610.5353	0.88802	612.63	n/a
624.0191	629.2691	40	3	2	2	0.41	1	1	9.625	1	614.3795	624.0191	624.5272	0	625.3751	0.8478899999999999	627.5061	n/a
639.7736	645.0236	41	1	2	2	0.59	0	1	10.5	1	629.2594	639.7736	640.2735	1	641.2064	0.93291	643.2569	n/a
655.5206	660.7706	42	1	2	3	0.85	0	1	10.5	1	645.0089	655.5206	656.0211	1	656.8781	0.85695	659.0075	n/a
672.1556	677.4056	43	3	2	3	0.92	1	0	11.375	1	660.7596	672.1556	672.6561	0	673.6293	0.97326	675.6318	n/a
687.0292	692.2792	44	2	2	3	0.8	0	1	9.625	0	677.3814	687.0292	687.5393	1	688.4208	0.88155	690.5116	n/a
702.7895	708.0395	45	1	2	2	0.37	0	1	10.5	0	692.2612	702.7895	703.2919999999998	1	704.4767	1.1847	706.2599	n/a
718.5402	723.7902	46	1	2	3	0.8	1	1	10.5	1	708.0119	718.5402	719.0408	1	720.0361	0.9953	722.0209	723.2527
734.2909	739.5409	47	2	2	2	0.62	0	1	10.5	0	723.7704	734.2909	734.7915	1	735.8916	1.1	737.7672	n/a
750.0476	755.2976	48	2	2	1	0.11	1	1	10.5	0	739.53	750.0476	750.5475	0	751.42	0.87246	753.5287	n/a
766.6771	771.9271	49	3	2	2	0.5	1	0	11.375	0	755.2807	766.6771	767.1773	0	768.0344	0.8571200000000001	770.1469999999998	n/a
781.5432	786.7932	50	3	2	2	0.63	1	1	9.625	0	771.9091	781.5432	782.0568	0	783.1223	1.0655	785.0302	n/a
798.1782	803.4282	51	2	2	3	0.89	0	0	11.375	1	786.7822	798.1782	798.6788	1	799.6505	0.97172	801.6519999999998	n/a
813.0495	818.2995	52	1	2	3	0.71	0	1	9.625	0	803.4017	813.0495	813.5494	0	815.065	1.5156	816.5319	n/a
829.6797	834.9297	53	2	2	1	0.19	1	0	11.375	1	818.2837	829.6797	830.1802	0	831.1125	0.93221	833.1612	n/a
845.4304	850.6804	54	2	2	2	0.46	0	0	10.5	1	834.9109	845.4304	845.931	1	847.184	1.253	848.9174	n/a
860.3136	865.5636	55	3	2	1	0.07	0	1	9.625	0	850.6695	860.3136	860.8141	0	861.7359	0.92183	863.7874	n/a
876.9344	882.1844	56	3	2	2	0.55	1	0	11.375	1	865.5371	876.9344	877.4343	0	878.16	0.72567	880.4191	n/a
891.815	897.065	57	2	2	3	0.67	1	1	9.625	1	882.171	891.815	892.3156	1	893.3346	1.019	895.2966	896.5297
908.4437	913.6937	58	2	2	1	0.25	0	0	11.375	1	897.0463	908.4437	908.9507	0	909.6943	0.74362	911.9204	n/a
924.19	929.44	59	3	2	1	0.28	1	0	10.5	1	913.6757	924.19	924.7014	0	925.5415	0.8401200000000001	927.6723	n/a
939.0531	944.3031	60	1	2	1	0.32	0	1	9.625	0	929.4232	939.0531	939.5697	1	940.8213	1.2516	942.5542	n/a
954.818	960.068	61	3	2	3	0.68	1	1	10.5	1	944.3063	954.818	955.3326	0	956.2688	0.93619	958.3051	n/a
970.579	975.829	62	1	2	1	0.07	0	1	10.5	0	960.0571	970.579	971.086	0	972.349	1.263	974.0615	n/a
987.2038	992.4538	63	2	2	2	0.54	1	0	11.375	0	975.8111	987.2038	987.7084	1	988.596	0.8876	990.6741	991.9193
1002.9548	1008.2048	64	2	2	3	0.75	1	0	10.5	0	992.4429	1002.9548	1003.4551	1	1004.2835	0.8283799999999999	1006.4415	1007.6734
1017.8377	1023.0877	65	1	2	1	0.23	0	1	9.625	0	1008.1936	1017.8377	1018.3382	0	1019.8106	1.4724	1021.3171	n/a
1033.5716	1038.8216	66	1	2	2	0.5	0	1	10.5	0	1023.0665	1033.5716	1034.0806	1	1034.9302	0.84955	1037.0632	n/a
1050.2103	1055.4603	67	3	2	1	0.14	1	0	11.375	0	1038.8131	1050.2103	1050.7269	0	1051.9699	1.2431	1053.6939	n/a
1065.0901	1070.3401	68	2	2	1	0.32	0	1	9.625	0	1055.4458	1065.0901	1065.5903	0	1067.1774	1.5871	1068.577	n/a
1081.7195	1086.9695	69	1	2	2	0.45	0	0	11.375	1	1070.329	1081.7195	1082.2255	1	1083.4407	1.2152	1085.2018	n/a
1097.4589	1102.7089	70	2	2	2	0.38	1	0	10.5	0	1086.9515	1097.4589	1097.9763	1	1098.9123	0.93602	1100.9483	1102.1876
1112.3588	1117.6088	71	3	2	3	0.76	1	1	9.625	0	1102.7147	1112.3588	1112.8594	1	1114.5681	1.7088	1115.8291	1117.0685
1128.9604	1134.2104	72	1	2	1	0.16	0	0	11.375	0	1117.5812	1128.9604	1129.4776	0	1130.7753	1.2977	1132.4643	n/a
1143.8603	1149.1103	73	3	3	2	0.39	1	1	9.625	0	1134.2162	1143.8603	1144.3608	0	1146.0238	1.663	1147.3373	n/a
