onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5686	15.8186	1	1	1	2	0.53	0	0	10.5	0	0.11371	10.5686	11.1255	1	12.9789	1.8534	14.0384	n/a
25.4258	30.6758	2	2	1	1	0.13	0	1	9.625	0	15.7905	25.4258	25.926	1	27.761	1.835	28.9107	n/a
42.034	47.284	3	2	1	3	0.91	1	0	11.375	1	30.6702	42.034	42.5788	1	44.8722	2.2933	45.5352	46.7715
56.9241	62.1741	4	3	1	1	0.15	1	1	9.625	1	47.2861	56.9241	57.441	1	59.152	1.711	60.413	61.6477
72.6935	77.9435	5	1	1	2	0.61	0	1	10.5	0	62.1626	72.6935	73.1819	1	74.95100000000002	1.7692	76.1664	n/a
89.3062	94.5562	6	3	1	1	0.31	1	0	11.375	0	77.9174	89.3062	89.8065	1	91.3987	1.5922	92.7911	94.028
105.0641	110.3141	7	3	1	3	0.79	1	0	10.5	0	94.5419	105.0641	105.552	1	106.7901	1.2382	108.5486	109.7806
120.8212	126.0712	8	1	1	1	0.1	0	0	10.5	0	110.3009	120.8212	121.3215	1	122.4457	1.1242	124.2975	n/a
135.6949	140.9449	9	3	1	2	0.58	1	1	9.625	0	126.0471	135.6949	136.1952	1	137.9249	1.7297	139.1798	140.4108
152.3074	157.5574	10	3	1	2	0.36	1	0	11.375	1	140.9308	152.3074	152.82399999999996	1	154.5962	1.7722	155.8065	157.039
168.0604	173.3104	11	1	1	3	0.82	0	0	10.5	1	157.5562	168.0604	168.5868	1	170.4434	1.8566	171.5527	n/a
183.8346	189.0846	12	3	1	1	0.22	1	0	10.5	1	173.3128	183.8346	184.3348	1	185.9707	1.6358	187.3027	188.5444
199.5793	204.8293	13	3	1	3	0.87	0	0	10.5	1	189.0651	199.5793	200.0792	1	201.3694	1.2902	203.0617	n/a
215.3329	220.5829	14	1	1	2	0.45	0	0	10.5	0	204.8113	215.3329	215.842	1	217.37	1.5279	218.8179	n/a
230.2067	235.4567	15	2	1	3	0.7	0	1	9.625	0	220.5687	230.2067	230.7069	1	233.6735	2.9666	233.6915	n/a
245.968	251.218	16	1	1	1	0.27	0	1	10.5	1	235.4424	245.968	246.4679	1	248.0965	1.6287	249.4338	n/a
262.5973	267.8473	17	2	1	2	0.4	0	0	11.375	0	251.2	262.5973	263.0972	1	264.4321	1.3349	266.0737	n/a
278.3463	283.5963	18	1	1	1	0.18	0	0	10.5	1	267.8245	278.3463	278.8465	1	280.2795	1.4329	281.8258	n/a
294.0897	299.3397	19	1	1	3	0.74	0	0	10.5	0	283.582	294.0897	294.5896	1	296.0467	1.4571	297.5721	n/a
309.8525	315.1025	20	3	1	2	0.52	1	0	10.5	1	299.3229	309.8525	310.3524	1	311.6466	1.2941	313.3295	314.5636
324.7322	329.9822	21	1	1	1	0.34	0	1	9.625	0	315.0845	324.7322	325.2321	1	326.4219	1.1898	328.2032	n/a
341.3616	346.6116	22	3	1	3	0.7	1	0	11.375	1	329.9643	341.3616	341.8599	1	343.1651	1.3053	344.8279	346.07
356.2334	361.4834	23	2	1	2	0.65	0	1	9.625	0	346.5936	356.2334	356.7244	1	358.0208	1.2964	359.7069	n/a
372.8579	378.1079	24	2	1	2	0.49	1	0	11.375	1	361.4692	372.8579	373.3582	1	374.9718	1.6136	376.3428	377.5749
387.7336	392.9836	25	2	1	2	0.57	0	1	9.625	0	378.0937	387.7336	388.2335	1	389.507	1.2735	391.2165	n/a
403.4724	408.7224	26	2	1	1	0.22	1	1	10.5	1	392.9675	403.4724	403.9797	1	405.307	1.3273	406.9741	408.2066
420.1138	425.3638	27	1	1	2	0.4	1	0	11.375	1	408.7285	420.1138	420.6141	1	421.9701	1.356	423.5986	424.8347
435.8719	441.1219	28	2	1	1	0.27	1	0	10.5	1	425.3578	435.8719	436.3718	1	437.8171	1.4453	439.3562	440.5883
451.6181	456.8681	29	1	1	3	0.88	0	0	10.5	1	441.1072	451.6181	452.1347	1	453.961	1.8263	455.1004	n/a
466.5024	471.7524	30	3	1	1	0.09	1	1	9.625	0	456.8646	466.5024	466.9976	1	469.4325	2.4349	469.9802	471.2182
482.2607	487.5107	31	3	1	2	0.44	1	1	10.5	1	471.7383	482.2607	482.7606	1	484.1195	1.3589	485.7431	486.9714
498.8732	504.1232	32	3	1	3	0.95	1	0	11.375	0	487.4958	498.8732	499.3849	1	501.1827	1.7978	502.3696	503.6005
514.6422	519.8922	33	2	1	3	0.75	1	0	10.5	1	504.1221	514.6422	515.1424	1	516.6306	1.4882	518.1184	519.3538
530.3662	535.6162	34	2	1	1	0.06	1	0	10.5	0	519.868	530.3662	530.8989	1	532.5579	1.659	533.8678	535.1083
545.2788	550.5288	35	2	1	3	0.83	0	1	9.625	0	535.631	545.2788	545.7786	1	547.1569	1.3783	548.7444	n/a
561.0309	566.2809	36	1	1	3	0.66	0	1	10.5	1	550.5092	561.0309	561.5312	1	563.3806	1.8494	564.5073	n/a
576.7718	582.0218	37	3	2	3	0.84	1	1	10.5	1	566.2569	576.7718	577.2719999999998	1	578.5884	1.3163	580.2567	581.4933
592.5339	597.7839	38	1	2	3	0.93	0	1	10.5	0	582.0075	592.5339	593.0338	1	595.2197	2.1859	596.0163	n/a
609.1632	614.4132	39	3	2	1	0.2	1	0	11.375	1	597.7659	609.1632	609.6631	1	610.9788	1.3157	612.6388	613.8735
624.0443	629.2943	40	3	2	2	0.41	1	1	9.625	1	614.3952	624.0443	624.5428	1	625.8101	1.2673	627.5126	628.7516
639.7891	645.0391	41	1	2	2	0.59	0	1	10.5	1	629.275	639.7891	640.289	1	641.5776	1.2886	643.2714	n/a
655.5426	660.7926	42	1	2	3	0.85	0	1	10.5	1	645.0213	655.5426	656.0429	1	657.0888	1.0459	659.0275	n/a
672.1672	677.4172	43	3	2	3	0.92	1	0	11.375	1	660.7784	672.1672	672.6675	1	673.8646	1.1971	675.6522	676.8854
687.0443	692.2943	44	2	2	3	0.8	0	1	9.625	0	677.403	687.0443	687.5442	1	689.6631	2.1189	690.5267	n/a
702.7985	708.0485	45	1	2	2	0.37	0	1	10.5	0	692.2767	702.7985	703.2987	1	705.2629	1.9642	706.2834	n/a
718.556	723.806	46	1	2	3	0.8	1	1	10.5	1	708.0342	718.556	719.0562	1	720.7905	1.7342	722.0357	723.2669999999998
734.2995	739.5495	47	2	2	2	0.62	0	1	10.5	0	723.7853	734.2995	734.7994	1	736.3902	1.5908	737.7818	n/a
750.0457	755.2957	48	2	2	1	0.11	1	1	10.5	0	739.5326	750.0457	750.5623	1	752.2933	1.731	753.5391	754.7736
766.6789	771.9289	49	3	2	2	0.5	1	0	11.375	0	755.2944	766.6789	767.1915	1	769.3808	2.1892	770.1637	771.403
781.5693	786.8193	50	3	2	2	0.63	1	1	9.625	0	771.9237	781.5693	782.0713	1	784.7881	2.7169	785.0376	786.2797
798.2007	803.4507	51	2	2	3	0.89	0	0	11.375	1	786.7884	798.2007	798.6942	1	800.1158	1.4216	801.6664	n/a
813.0677	818.3177	52	1	2	3	0.71	0	1	9.625	0	803.4297	813.0677	813.5679	1	816.5325	2.9646	816.5526	n/a
829.693	834.943	53	2	2	1	0.19	1	0	11.375	1	818.3034	829.693	830.1929	1	831.4187	1.2257	833.1772	834.4132
845.4497	850.6997	54	2	2	2	0.46	0	0	10.5	1	834.928	845.4497	845.9558	1	847.2258	1.27	848.9346	n/a
860.3235	865.5735	55	3	2	1	0.07	0	1	9.625	0	850.6879	860.3235	860.8355	1	862.6249	1.7894	863.8083	n/a
876.9482	882.1982	56	3	2	2	0.55	1	0	11.375	1	865.5594	876.9482	877.4483	1	878.8725	1.4241	880.4331	881.6704
891.8217	897.0717	57	2	2	3	0.67	1	1	9.625	1	882.1839	891.8217	892.3445	1	893.4639	1.1194	895.3103	896.5503
908.4631	913.7131	58	2	2	1	0.25	0	0	11.375	1	897.06	908.4631	908.9634	1	911.0154	2.052	911.9396	n/a
924.204	929.454	59	3	2	1	0.28	1	0	10.5	1	913.699	924.204	924.7208	1	926.0789	1.358	927.6889	928.9296
939.0944	944.3444	60	1	2	1	0.32	0	1	9.625	0	929.4398	939.0944	939.5946	1	940.9181	1.3235	942.5655	n/a
954.846	960.096	61	3	2	3	0.68	1	1	10.5	1	944.315	954.846	955.3353	1	956.3979	1.0626	958.3283	959.5594
970.5927	975.8427	62	1	2	1	0.07	0	1	10.5	0	960.078	970.5927	971.0929	1	972.701	1.6081	974.0775	n/a
987.2047	992.4547	63	2	2	2	0.54	1	0	11.375	0	975.8285	987.2047	987.7214	1	988.9328	1.2114	990.7039	991.9399
1002.9843	1008.2343	64	2	2	3	0.75	1	0	10.5	0	992.4536	1002.9843	1003.4751	1	1006.4401	2.965	1006.4596	1007.6945
1017.8653	1023.1153	65	1	2	1	0.23	0	1	9.625	0	1008.2162	1017.8653	1018.3655	1	1021.3193	2.9538	1021.3334	n/a
1033.6061	1038.8561	66	1	2	2	0.5	0	1	10.5	0	1023.0845	1033.6061	1034.1101	1	1037.0713	2.9612	1037.0926	n/a
1050.2306	1055.4806	67	3	2	1	0.14	1	0	11.375	0	1038.8422	1050.2306	1050.7308	1	1053.6983	2.9676	1053.7155	1054.9519
1065.1044	1070.3544	68	2	2	1	0.32	0	1	9.625	0	1055.4715	1065.1044	1065.6213	1	1068.577	2.9557	1068.5893	n/a
1081.7457	1086.9957	69	1	2	2	0.45	0	0	11.375	1	1070.3512	1081.7457	1082.2484	1	1083.3209	1.0725	1085.2143	n/a
1097.4947	1102.7447	70	2	2	2	0.38	1	0	10.5	0	1086.9806	1097.4947	1098.006	1	1099.1286	1.1226	1100.9771	1102.2106
1112.377	1117.627	71	3	2	3	0.76	1	1	9.625	0	1102.7267	1112.377	1112.8772	1	1115.835	2.9578	1115.8568	1117.0884
1129.0037	1134.2537	72	1	2	1	0.16	0	0	11.375	0	1117.6127	1129.0037	1129.5036	1	1132.464	2.9604	1132.4863	n/a
