onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.5705	15.8205	1	1	1	2	0.53	0	0	10.5	0	0.11375	10.5705	11.1215	1	11.9141	0.79265	14.0288	n/a
25.408	30.658	2	2	1	1	0.13	0	1	9.625	0	15.7935	25.408	25.9246	1	26.3939	0.46932	28.9073	n/a
42.0543	47.3043	3	2	1	3	0.91	1	0	11.375	1	30.6594	42.0543	42.5679	1	43.2094	0.64157	45.5367	46.7707
56.9342	62.1842	4	3	1	1	0.15	1	1	9.625	1	47.2863	56.9342	57.434	1	58.697	1.263	60.4166	61.6469
72.69	77.94	5	1	1	2	0.61	0	1	10.5	0	62.1662	72.69	73.1901	1	74.0488	0.85867	76.1631	n/a
89.3101	94.5601	6	3	1	1	0.31	1	0	11.375	0	77.9126	89.3101	89.81	1	90.6244	0.8143600000000001	92.7951	94.0266
105.0732	110.3232	7	3	1	3	0.79	1	0	10.5	0	94.5471	105.0732	105.5595	1	106.1686	0.6092	108.5459	109.7811
120.8196	126.0696	8	1	1	1	0.1	0	0	10.5	0	110.3147	120.8196	121.327	0	122.7915	1.4645	124.3021	n/a
135.6827	140.9327	9	3	1	2	0.58	1	1	9.625	0	126.0517	135.6827	136.1994	1	138.3352	2.1358	139.18	140.4129
152.3291	157.5791	10	3	1	2	0.36	1	0	11.375	1	140.9321	152.3291	152.8123	1	153.8069	0.99461	155.7985	157.0414
168.079	173.329	11	1	1	3	0.82	0	0	10.5	1	157.5611	168.079	168.5796	1	169.6544	1.0748	171.558	n/a
183.8298	189.0798	12	3	1	1	0.22	1	0	10.5	1	173.3076	183.8298	184.3385	0	186.1181	1.7797	187.3169	n/a
199.5849	204.8349	13	3	1	3	0.87	0	0	10.5	1	189.0689	199.5849	200.0849	1	202.1817	2.0968	203.0678	n/a
215.3315	220.5815	14	1	1	2	0.45	0	0	10.5	0	204.8198	215.3315	215.8321	1	216.638	0.8059	218.8186	n/a
