onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResultOnset	ShockOnset
10.562	15.812	1	1	1	2	0.53	0	0	10.5	0	0.046135	10.562	11.0892	1	12.6227	1.5335	14.0297	n/a
25.4274	30.6774	2	2	1	1	0.13	0	1	9.625	0	15.7782	25.4274	25.9274	1	27.0624	1.135	28.9103	n/a
42.0485	47.2985	3	2	1	3	0.91	1	0	11.375	1	30.6602	42.0485	42.5717	1	44.0936	1.5218	45.5309	46.7695
56.9285	62.1785	4	3	1	1	0.15	1	1	9.625	1	47.2806	56.9285	57.4284	1	58.5091	1.0807	60.4109	61.6454
72.6749	77.9249	5	1	1	2	0.61	0	1	10.5	0	62.1606	72.6749	73.1914	1	74.1248	0.93338	76.1573	n/a
89.3054	94.5554	6	3	1	1	0.31	1	0	11.375	0	77.907	89.3054	89.8054	1	90.6846	0.87925	92.7883	94.0258
105.0675	110.3175	7	3	1	3	0.79	1	0	10.5	0	94.5382	105.0675	105.5707	1	106.7882	1.2175	108.55	109.7796
120.8194	126.0694	8	1	1	1	0.1	0	0	10.5	0	110.3036	120.8194	121.3194	1	122.5717	1.2523	124.2963	n/a
135.6938	140.9438	9	3	1	2	0.58	1	1	9.625	0	126.0523	135.6938	136.2014	1	137.1237	0.92226	139.1762	140.4106
152.3234	157.5734	10	3	1	2	0.36	1	0	11.375	1	140.9259	152.3234	152.8233	1	153.9956	1.1723	155.8058	157.04
168.0698	173.3198	11	1	1	3	0.82	0	0	10.5	1	157.5555	168.0698	168.5864	1	169.4106	0.82424	171.5521	n/a
183.8329	189.0829	12	3	1	1	0.22	1	0	10.5	1	173.315	183.8329	184.3327	1	186.3546	2.0219	187.3138	188.5454
199.5795	204.8295	13	3	1	3	0.87	0	0	10.5	1	189.0649	199.5795	200.0794	1	201.2499	1.1705	203.0625	n/a
215.3424	220.5924	14	1	1	2	0.45	0	0	10.5	0	204.8123	215.3424	215.8449	0	218.154	2.3091	218.8248	n/a
230.1935	235.4435	15	2	1	3	0.7	0	1	9.625	0	220.5744	230.1935	230.7101	1	232.3212	1.6112	233.6932	n/a
245.9687	251.2187	16	1	1	1	0.27	0	1	10.5	1	235.4431	245.9687	246.4686	1	249.4288	2.9602	249.451	n/a
262.5909	267.8409	17	2	1	2	0.4	0	0	11.375	0	251.2008	262.5909	263.0981	1	264.5848	1.4867	266.0737	n/a
278.3446	283.5946	18	1	1	1	0.18	0	0	10.5	1	267.8303	278.3446	278.8445	1	281.368	2.5235	281.8271	n/a
294.0742	299.3242	19	1	1	3	0.74	0	0	10.5	0	283.5766	294.0742	294.5909	1	296.3196	1.7286	297.5735	n/a
309.8541	315.1041	20	3	1	2	0.52	1	0	10.5	1	299.3398	309.8541	310.3540000000001	1	312.1753	1.8213	313.3364	314.5702
324.7194	329.9694	21	1	1	1	0.34	0	1	9.625	0	315.0863	324.7194	325.2357	1	327.1668	1.9312	328.2164	n/a
341.351	346.601	22	3	1	3	0.7	1	0	11.375	1	329.9685	341.351	341.8635	1	343.0946	1.2311	344.834	346.0739
356.2269	361.4769	23	2	1	2	0.65	0	1	9.625	0	346.5957	356.2269	356.7434	1	358.0466	1.3032	359.716	n/a
372.865	378.115	24	2	1	2	0.49	1	0	11.375	1	361.4659	372.865	373.365	1	374.974	1.609	376.348	377.5821
387.7363	392.9863	25	2	1	2	0.57	0	1	9.625	0	378.0978	387.7363	388.2362	1	390.6376	2.4013	391.2188	n/a
403.4827	408.7327	26	2	1	1	0.22	1	1	10.5	1	392.9799	403.4827	403.9827	1	406.0854	2.1027	406.9787	408.2103
420.1123	425.3623	27	1	1	2	0.4	1	0	11.375	1	408.7315	420.1123	420.6122	1	421.9889	1.3767	423.5948	424.8399
435.8764	441.1264	28	2	1	1	0.27	1	0	10.5	1	425.3611	435.8764	436.3764	1	437.5808	1.2045	439.3594	440.5933
451.625	456.875	29	1	1	3	0.88	0	0	10.5	1	441.1092	451.625	452.1251	1	453.8603	1.7352	455.1079	n/a
466.5072	471.7572	30	3	1	1	0.09	1	1	9.625	0	456.8579	466.5072	467.0071	0	469.8996	2.8924	469.99	n/a
482.2648	487.5148	31	3	1	2	0.44	1	1	10.5	1	471.74	482.2648	482.7647	1	484.6756	1.9109	485.7387	486.9759
498.8943	504.1443	32	3	1	3	0.95	1	0	11.375	0	487.4969	498.8943	499.3942	1	501.1631	1.7689	502.3706	503.6051
514.6408	519.8908	33	2	1	3	0.75	1	0	10.5	1	504.1264	514.6408	515.1406	1	516.3147	1.1741	518.1231	519.3576
530.3872	535.6372	34	2	1	1	0.06	1	0	10.5	0	519.8728	530.3872	530.9038	1	533.2102	2.3064	533.8695	535.1113
545.2672	550.5172	35	2	1	3	0.83	0	1	9.625	0	535.6192	545.2672	545.7672	1	546.8259	1.0587	548.7501	n/a
561.0159	566.2659	36	1	1	3	0.66	0	1	10.5	1	550.5001	561.0159	561.5326	1	564.4895	2.9569	564.5127	n/a
576.7812	582.0312	37	3	2	3	0.84	1	1	10.5	1	566.2622	576.7812	577.2812	1	578.465	1.1838	580.2643	581.495
592.5299	597.7799	38	1	2	3	0.93	0	1	10.5	0	582.0141	592.5299	593.0413	1	594.5771	1.5358	596.0128	n/a
609.1525	614.4025	39	3	2	1	0.2	1	0	11.375	1	597.7628	609.1525	609.6619	1	611.0483	1.3864	612.6349	613.8754
624.0324	629.2824	40	3	2	2	0.41	1	1	9.625	1	614.3947	624.0324	624.5439	1	625.6958	1.1519	627.5149	628.7546
639.7955	645.0455	41	1	2	2	0.59	0	1	10.5	1	629.2645	639.7955	640.2954	1	641.6157	1.3203	643.2757	n/a
655.5419	660.7919	42	1	2	3	0.85	0	1	10.5	1	645.0276	655.5419	656.0418	1	657.4474	1.4056	659.0244	n/a
672.1733	677.4233	43	3	2	3	0.92	1	0	11.375	1	660.7742	672.1733	672.6733	1	673.9032	1.2299	675.6562	676.8872
687.0386	692.2886	44	2	2	3	0.8	0	1	9.625	0	677.4061	687.0386	687.5554	1	688.8789	1.3235	690.5338	n/a
702.8041	708.0541	45	1	2	2	0.37	0	1	10.5	0	692.2882	702.8041	703.304	1	704.7504	1.4463	706.2869999999998	n/a
718.5360000000002	723.7860000000002	46	1	2	3	0.8	1	1	10.5	1	708.0368	718.5360000000002	719.0608	1	720.5261	1.4653	722.0356	723.2709
734.3073	739.5573	47	2	2	2	0.62	0	1	10.5	0	723.793	734.3073	734.8181	1	736.2292	1.4111	737.7898	n/a
750.0537	755.3037	48	2	2	1	0.11	1	1	10.5	0	739.5393	750.0537	750.5535	1	752.3813	1.8278	753.5360000000002	754.7762
766.6832	771.9332	49	3	2	2	0.5	1	0	11.375	0	755.2996	766.6832	767.1831	1	768.3811	1.1979	770.1657	771.4048
781.5641	786.8141	50	3	2	2	0.63	1	1	9.625	0	771.9152	781.5641	782.063	1	783.7723	1.7093	785.0471	786.2842
798.1961	803.4461	51	2	2	3	0.89	0	0	11.375	1	786.7971	798.1961	798.696	1	800.8364	2.1403	801.6791	n/a
813.0615	818.3115	52	1	2	3	0.71	0	1	9.625	0	803.4288	813.0615	813.5781	1	816.0195	2.4414	816.555	n/a
829.7022	834.9522	53	2	2	1	0.19	1	0	11.375	1	818.311	829.7022	830.2101	1	833.164	2.9539	833.1846	834.4185
845.4485	850.6985	54	2	2	2	0.46	0	0	10.5	1	834.9343	845.4485	845.9484	1	847.403	1.4546	848.9309	n/a
860.3409	865.5909	55	3	2	1	0.07	0	1	9.625	0	850.6916	860.3409	860.8285	0	863.6586	2.8301	863.8109	n/a
876.9581	882.2081	56	3	2	2	0.55	1	0	11.375	1	865.5607	876.9581	877.4580000000002	1	879.2982	1.8402	880.4405	881.6754
