onset	duration	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResultOnset	ResponseOnset	ResponseTime	ShockOnset
718.5298	723.7798	46	1	2	3	0.8	1	1	10.5	1	708.0101	718.5298	719.03	1	722.0068	720.2462	1.2162	723.242
734.2872	739.5372	47	2	2	2	0.62	0	1	10.5	0	723.7655	734.2872	734.7875	0	737.7554	736.5413	1.7538	n/a
750.0333	755.2833	48	2	2	1	0.11	1	1	10.5	0	739.5064	750.0333	750.5332	0	753.5156	752.0047	1.4715	n/a
766.6626	771.9126	49	3	2	2	0.5	1	0	11.375	0	755.2653	766.6626	767.1625	0	770.145	768.3957	1.2332	n/a
781.5264	786.7764	50	3	2	2	0.63	1	1	9.625	0	771.8946	781.5264	782.0422	0	785.0114	783.1706	1.1284	n/a
798.1677	803.4177	51	2	2	3	0.89	0	0	11.375	1	786.7743	798.1677	798.6715	0	801.6374	800.0504	1.3789	n/a
813.0414	818.2914	52	1	2	3	0.71	0	1	9.625	0	803.3872	813.0414	813.5513	1	816.5264	815.0822	1.5309	n/a
829.6661	834.9161	53	2	2	1	0.19	1	0	11.375	1	818.2772	829.6661	830.1663	0	833.1508	832.0815	1.9153	n/a
845.4268	850.6768	54	2	2	2	0.46	0	0	10.5	1	834.9018	845.4268	845.9238	0	848.8925	847.2488	1.3251	n/a
860.2973	865.5473	55	3	2	1	0.07	0	1	9.625	0	850.6593	860.2973	860.7975	0	863.7822	862.4882	1.6907	n/a
876.9219	882.1719	56	3	2	2	0.55	1	0	11.375	1	865.5331	876.9219	877.4221	0	880.4068	878.5594	1.1373	n/a
891.7989	897.0489	57	2	2	3	0.67	1	1	9.625	1	882.1577	891.7989	892.2959	0	895.2813	894.007	1.7112	n/a
908.4202	913.6702	58	2	2	1	0.25	0	0	11.375	1	897.0314	908.4202	908.9205	0	911.9106	910.2622	1.3417	n/a
924.1777	929.4277	59	3	2	1	0.28	1	0	10.5	1	913.6602	924.1777	924.6743	0	927.6625	925.5819	0.90766	n/a
939.0374	944.2874	60	1	2	1	0.32	0	1	9.625	0	929.4135	939.0374	939.5373	1	942.5364	940.6455	1.1082	n/a
954.8003	960.0503	61	3	2	3	0.68	1	1	10.5	1	944.2872	954.8003	955.3002	0	958.2938	957.949	2.6489	n/a
970.5498	975.7998	62	1	2	1	0.07	0	1	10.5	0	960.0489	970.5498	971.05	1	974.0456	972.9399	1.8899	n/a
987.1758	992.4258	63	2	2	2	0.54	1	0	11.375	0	975.7951	987.1758	987.6756	1	990.6592	989.2354	1.5597	991.9058
1002.9219	1008.1719	64	2	2	3	0.75	1	0	10.5	0	992.4268	1002.9219	1003.4322	0	1006.4209	1005.227	1.7948	n/a
1017.8057	1023.0557	65	1	2	1	0.23	0	1	9.625	0	1008.1706	1017.8057	1018.3059	1	1021.3007	1019.5064	1.2005	n/a
1033.5631	1038.8131	66	1	2	2	0.5	0	1	10.5	0	1023.0581	1033.5631	1034.0476	1	1037.048	1035.0419	0.9943	n/a
1050.1877	1055.4377	67	3	2	1	0.14	1	0	11.375	0	1038.7989	1050.1877	1050.688	0	1053.6762	1052.1212	1.4332	n/a
1065.0615	1070.3115	68	2	2	1	0.32	0	1	9.625	0	1055.4258	1065.0615	1065.5617	1	1068.5559	1068.0567	2.4949	n/a
1081.6861	1086.9361	69	1	2	2	0.45	0	0	11.375	1	1070.3138	1081.6861	1082.1863	1	1085.1876	1083.7521	1.5658	n/a
1097.4436	1102.6936	70	2	2	2	0.38	1	0	10.5	0	1086.9385	1097.4436	1097.9438	1	1100.9313	1100.0795	2.1357	1102.1727
1112.3172	1117.5672	71	3	2	3	0.76	1	1	9.625	0	1102.696	1112.3172	1112.8174	0	1115.8188	1114.5429	1.7255	n/a
1128.9419	1134.1919	72	1	2	1	0.16	0	0	11.375	0	1117.5698	1128.9419	1129.442	1	1132.4436	1130.6538	1.2118	n/a
1143.8211	1149.0711	73	3	3	2	0.39	1	1	9.625	0	1134.1944	1143.8211	1144.3208	0	1147.32	1145.7814	1.4606	n/a
1159.5732	1164.8232	74	2	3	1	0.24	1	1	10.5	0	1149.0697	1159.5732	1160.0838	0	1163.0748	1161.749	1.6652	n/a
1176.1976	1181.4476	75	2	3	3	0.86	0	0	11.375	0	1164.8256	1176.1976	1176.698	1	1179.6992	1178.5724	1.8744	n/a
1191.0882	1196.3382	76	1	3	2	0.56	0	1	9.625	0	1181.4502	1191.0882	1191.5884	1	1194.5754	1192.4598	0.8713799999999999	n/a
1206.8391	1212.0891	77	3	3	3	0.81	1	1	10.5	0	1196.3249	1206.8391	1207.339	0	1210.3306	1208.8108	1.4718	n/a
1222.5865	1227.8365	78	2	3	3	0.94	0	1	10.5	0	1212.0814	1222.5865	1223.0868	1	1226.0844	1224.8583	1.7716	n/a
1239.2146	1244.4646	79	2	3	2	0.51	1	0	11.375	1	1227.839	1239.2146	1239.7143	0	1242.7136	1240.8419	1.1276	n/a
1254.0943	1259.3443	80	3	3	1	0.33	1	1	9.625	0	1244.4636	1254.0943	1254.5942	0	1257.5863	1255.7295	1.1353	n/a
1270.7093	1275.9593	81	1	3	2	0.42	0	0	11.375	0	1259.343	1270.7093	1271.2097	1	1274.211	1272.1684	0.95876	n/a
1286.4698	1291.7198	82	1	3	3	0.69	0	0	10.5	0	1275.9619	1286.4698	1286.9697	1	1289.9689	1288.1681	1.1985	n/a
1302.2159	1307.4659	83	2	3	3	0.72	0	0	10.5	0	1291.7194	1302.2159	1302.7247	1	1305.7149	1304.3197	1.5949	n/a
1317.9820000000002	1323.2320000000002	84	1	3	1	0.12	0	0	10.5	1	1307.4646	1317.9820000000002	1318.4787	1	1321.4669	1319.5985	1.1199	n/a
1333.725	1338.975	85	3	3	2	0.55	1	0	10.5	1	1323.2274	1333.725	1334.2248	0	1337.2242	1335.3506	1.1257	n/a
1349.4803	1354.7303	86	1	3	1	0.21	0	0	10.5	1	1338.9752	1349.4803	1349.9805	1	1352.9702	1351.3259	1.3453	n/a
1365.2211	1370.4711	87	3	3	2	0.47	1	0	10.5	0	1354.7198	1365.2211	1365.7339	0	1368.7226	1367.0203	1.2864	n/a
1380.1116	1385.3616	88	3	3	1	0.12	1	1	9.625	1	1370.4827	1380.1116	1380.6118	0	1383.5963	1381.9088	1.297	n/a
1395.8599	1401.1099	89	2	3	1	0.17	1	1	10.5	1	1385.3473	1395.8599	1396.3598	0	1399.3589	1397.8603	1.5005	n/a
1412.4892	1417.7392	90	1	3	2	0.64	0	0	11.375	0	1401.1086	1412.4892	1412.9891	1	1415.9786	1414.4671	1.4781	n/a
1428.2354	1433.4854	91	1	3	1	0.05	0	0	10.5	0	1417.7378	1428.2354	1428.7352	0	1431.7359	1431.1067	2.3714	n/a
1443.1151	1448.3651	92	1	3	3	0.85	0	1	9.625	0	1433.4869	1443.1151	1443.6149	1	1446.614	1445.0658	1.4509	n/a
1458.8657	1464.1157	93	1	3	1	0.29	0	1	10.5	0	1448.3637	1458.8657	1459.366	1	1462.3672	1460.7698	1.4038	n/a
1475.4905	1480.7405	94	1	3	3	0.77	1	0	11.375	0	1464.1182	1475.4905	1475.9905	1	1478.9918	1477.4007	1.4101	1480.2287
1491.2534	1496.5034	95	3	3	1	0.17	1	0	10.5	0	1480.7428	1491.2534	1491.7533	0	1494.7494	1492.9366	1.1833	n/a
1506.1331	1511.3831	96	2	3	3	0.78	1	1	9.625	0	1496.5021	1506.1331	1506.6329999999996	1	1509.6229999999996	1508.3041	1.6711	1510.8586
1521.8793	1527.1293	97	2	3	2	0.43	1	1	10.5	0	1511.3818	1521.8793	1522.3793	1	1525.3783	1525.1192	2.7399	1526.6127
1537.6366	1542.8866	98	3	3	3	0.65	1	1	10.5	0	1527.1315	1537.6366	1538.142	0	1541.1244	1539.1901	1.0481	n/a
1554.2612	1559.5112	99	3	3	3	0.73	0	0	11.375	1	1542.8741	1554.2612	1554.7614	0	1557.7539	1555.7577	0.99632	n/a
1570.0187	1575.2687	100	2	3	1	0.3	0	0	10.5	1	1559.5136	1570.0187	1570.5189	0	1573.5036	1571.6214	1.1024	n/a
1585.7638	1591.0138	101	1	3	3	0.9	0	0	10.5	0	1575.2663	1585.7638	1586.2637	1	1589.2627	1587.4049	1.1413	n/a
1600.6435	1605.8935	102	3	3	1	0.26	1	1	9.625	1	1591.0125	1600.6435	1601.1502	0	1604.1426	1602.2278	1.0776	n/a
1616.3908	1621.6408	103	1	3	2	0.48	0	1	10.5	1	1605.8922	1616.3908	1616.8909	1	1619.8923	1619.0998	2.2089	n/a
1633.019	1638.269	104	2	3	1	0.08	0	0	11.375	0	1621.6431	1633.019	1633.5189	0	1636.5179	1635.2031	1.6842	n/a
1647.9058	1653.1558	105	3	3	3	0.9	1	1	9.625	0	1638.2678	1647.9058	1648.406	0	1651.3977	1650.0904	1.6844	n/a
1663.6466	1668.8966	106	2	3	2	0.6	1	1	10.5	1	1653.1474	1663.6466	1664.1467	0	1667.1481	1665.7457	1.599	n/a
1679.4077	1684.6577	107	2	3	2	0.35	0	1	10.5	0	1668.899	1679.4077	1679.9076	0	1682.89	1681.273	1.3654	n/a
1695.1616	1700.4116	108	3	3	2	0.6	1	1	10.5	1	1684.6565	1695.1616	1695.6619	0	1698.6529999999998	1696.7204	1.0585	n/a
